Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,1543.27,1569.03,1414.35,1418.73,820947000,"429,996,224"
19-Feb-18,1483.34,1553.81,1483.34,1534.77,578906000,"-590,103,776"
18-Feb-18,1552.1,1641.4,1428.49,1487.46,907873000,"574,396,224"
17-Feb-18,1548.48,1568.64,1517.14,1551.39,641719000,"510,296,224"
16-Feb-18,1373.16,1558.66,1369.68,1552.2,961010000,"1,827,163,520"
15-Feb-18,1358.65,1400.71,1330.18,1375.81,502454000,"1,578,463,520"
14-Feb-18,1229.18,1384.06,1229.18,1362.27,629852000,"-620,536,480"
13-Feb-18,1285.23,1289.42,1205.73,1231.98,442663000,"328,163,520"
12-Feb-18,1222.43,1302.66,1222.43,1283.91,466213000,"-739,436,480"
11-Feb-18,1255.59,1306.2,1197.87,1217.64,651555000,"-179,236,480"
10-Feb-18,1311.99,1394.81,1215.72,1257.31,734606000,"774,863,520"
09-Feb-18,1273.87,1342.41,1206.39,1312.11,1133760000,"126,363,520"
08-Feb-18,951.57,1345.2,951.57,1284.56,-2091257296,"-1,045,969,184"
07-Feb-18,971.08,1040.49,902.49,957.96,866222000,"-716,969,184"
06-Feb-18,890.97,978.91,764.02,974.52,777420000,"-2,076,769,184"
05-Feb-18,1159.89,1172.7,839.95,887.41,568117000,"-1,815,036,480"
04-Feb-18,1273.17,1286.98,1101.31,1165.38,656034000,"102,663,520"
03-Feb-18,1194.23,1314.43,1072.83,1272.5,453101000,"-1,237,436,480"
02-Feb-18,1272.5,1272.5,980.78,1191.14,896666000,"86,863,520"
01-Feb-18,1491.12,1503.3,1214.88,1274.35,678020000,"-506,603,776"
31-Jan-18,1470.74,1522.87,1406.25,1486.89,729209000,"-854,103,776"
30-Jan-18,1657.69,1662.07,1468.17,1470.55,649823000,"-1,985,071,072"
29-Jan-18,1745.36,1763.24,1638.33,1657.14,362213000,"-503,271,072"
28-Jan-18,1636.41,1762.34,1636.41,1746.25,580544000,"1,943,496,224"
27-Jan-18,1602.5,1665.81,1567.78,1628.63,441742000,"1,366,296,224"
26-Jan-18,1637.19,1678.63,1500.37,1603.9,594667000,"1,950,696,224"
25-Jan-18,1661.04,1707.7,1611.04,1642.12,522194000,"-1,943,471,072"
24-Jan-18,1622.15,1703.34,1575.42,1639.13,488161000,"1,690,396,224"
23-Jan-18,1623.14,1700.34,1504.72,1621.46,578984000,"1,703,896,224"
22-Jan-18,1794.46,1815.42,1525.5,1621.92,681350000,"305,428,928"
21-Jan-18,2033.7,2033.7,1733.99,1776.64,745179000,"55,761,632"
20-Jan-18,1784.26,2124.45,1780.45,2032.12,1116240000,"126,728,928"
19-Jan-18,1740.17,1870.78,1723.87,1769.62,743247000,"-622,571,072"
18-Jan-18,1752.27,1893.47,1696.25,1756.75,1024060000,"-421,171,072"
17-Jan-18,1767.58,1875.08,1361.02,1748.05,1457730000,"-165,271,072"
16-Jan-18,2406.86,2406.86,1555.97,1772.07,1704030000,"2,054,094,336"
15-Jan-18,2541.58,2576.13,2328.31,2401.54,1412360000,"33,827,040"
14-Jan-18,2687.1,2746.61,2490.04,2553.32,993310000,"-1,805,140,256"
13-Jan-18,2617.66,2850.27,2589.03,2685.29,1218570000,"1,310,627,040"
12-Jan-18,2475.9,2648.23,2413.33,2620.99,1110220000,"-1,090,572,960"
11-Jan-18,2891.55,2976.49,2396.84,2462.61,1947950000,"1,636,159,744"
10-Jan-18,2390.02,2961.2,2332.48,2895.38,-1716157296,"1,743,294,336"
09-Jan-18,2412.36,2502.87,2346.68,2391.56,1084750000,"2,116,194,336"
08-Jan-18,2786.6,2810.32,2275.07,2421.47,1428900000,"-153,040,256"
07-Jan-18,2784.68,3071.16,2730.31,2786.88,1444780000,"-190,640,256"
06-Jan-18,2583.71,2829.69,2481.36,2786.65,1669160000,"703,527,040"
05-Jan-18,2400.74,2648.32,2370.59,2584.48,2115710000,"1,902,894,336"
04-Jan-18,2608.87,2610.2,2359.3,2430.18,1082292704,"1,119,427,040"
03-Jan-18,2700.55,2958.47,2592.56,2608.69,393872704,"-1,631,340,256"
02-Jan-18,2434.5,2867.14,2434.5,2711,1831230000,"-1,834,872,960"
01-Jan-18,2534.82,2534.86,2389.52,2432.54,922813000,"-144,872,960"
31-Dec-17,2376.96,2627.95,2350.03,2533.01,1300820000,"1,480,194,336"
30-Dec-17,2791.55,2791.55,2329.47,2392.41,1257760000,"-114,840,256"
29-Dec-17,2587.3,2922.41,2389.04,2779.95,-1815547296,"727,327,040"
28-Dec-17,2888.64,2896.78,2481.3,2566.64,-1073667296,"1,514,059,744"
27-Dec-17,3108.32,3108.32,2771.05,2889.52,1406450000,"921,592,448"
26-Dec-17,2947.74,3112.64,2915.8,3108.89,1544430000,"-1,793,907,552"
25-Dec-17,2929.35,3099.62,2755.6,2954.69,1355440000,"-2,108,807,552"
24-Dec-17,3260.55,3260.55,2573.44,2903.12,1712160000,"-821,374,848"
23-Dec-17,2746.95,3479.71,2684.82,3257.08,-1451657296,"-902,640,256"
22-Dec-17,3324,3369.55,1938.36,2696.69,-417197296,"237,225,152"
21-Dec-17,3909,3909,3038.01,3267.17,-630637296,"1,509,190,560"
20-Dec-17,2825.03,4355.62,2825.03,3923.07,-995301888,"399,959,744"
19-Dec-17,2199.06,2918.93,2160.92,2805.89,-381627296,"-1,571,405,664"
18-Dec-17,1869.21,2353.64,1799.12,2196.64,-1756317296,"1,452,128,928"
17-Dec-17,1812.33,1939.93,1806.65,1862.88,1020590000,"489,728,928"
16-Dec-17,1824.85,1890.06,1769.5,1801.88,971255000,"697,828,928"
15-Dec-17,1974.66,1974.66,1678.06,1815.43,1457230000,"-1,074,938,368"
14-Dec-17,1600.67,2080.41,1593.15,1966.14,-1577557296,"1,207,896,224"
13-Dec-17,1616.99,1702.53,1497.94,1607.65,1245190000,"1,479,796,224"
12-Dec-17,1427.38,1638.29,1427.38,1615.03,1386250000,"-1,718,003,776"
11-Dec-17,1320,1453.49,1316.85,1423.38,922792000,"765,063,520"
