Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,3.97,4.16,3.44,3.52,157912,"36,680,600"
19-Feb-18,3.69,4.15,3.62,3.95,108297,"34,058,900"
18-Feb-18,4.34,4.34,3.66,3.7,150823,"40,037,400"
17-Feb-18,4.08,4.38,4.01,4.31,185105,"37,708,600"
16-Feb-18,4.06,4.19,3.87,4.13,149639,"37,459,600"
15-Feb-18,3.86,4.3,3.7,4.04,157578,"35,618,900"
14-Feb-18,3.05,5.52,3.05,3.73,385193,"28,162,900"
13-Feb-18,3,3.19,2.83,3.03,111873,"27,695,200"
12-Feb-18,2.24,3.12,2.23,3.01,198019,"20,673,000"
11-Feb-18,2.35,2.39,2.12,2.25,76175,"21,665,700"
10-Feb-18,2.19,2.64,2.19,2.39,152689,"20,226,800"
09-Feb-18,2.34,2.35,2.09,2.19,168616,"21,567,800"
08-Feb-18,2.42,2.81,2.26,2.34,211125,"22,272,200"
07-Feb-18,5.54,5.54,2.14,2.46,792071,"51,017,500"
06-Feb-18,4.31,5.59,3.72,5.58,302712,"39,655,600"
05-Feb-18,5.49,5.64,4.18,4.29,194631,"50,518,800"
04-Feb-18,6.55,6.63,5.26,5.54,309371,"60,272,400"
03-Feb-18,6.7,6.91,6,6.51,317398,"61,616,000"
02-Feb-18,8.91,8.93,5.55,6.69,692302,"81,947,000"
01-Feb-18,8.59,13.14,8.51,8.89,5672460,"79,051,200"
31-Jan-18,5.97,10.11,5.55,8.73,3657210,"54,933,300"
30-Jan-18,7,7.05,5.75,6.01,883703,"64,358,900"
29-Jan-18,8.27,8.35,7.01,7.01,1171150,"76,009,800"
28-Jan-18,10.64,11.24,8.21,8.32,1950330,"97,814,400"
27-Jan-18,11.17,11.29,10.48,10.53,994843,"102,654,000"
26-Jan-18,12.57,12.92,10.59,11.18,1600520,"115,488,000"
25-Jan-18,12.8,15.97,9.46,12.59,5376800,"117,579,000"
24-Jan-18,15.94,15.94,12.5,13.26,2406960,"146,393,000"
23-Jan-18,16.69,17.08,15.08,16.05,1771300,"153,213,000"
22-Jan-18,18.08,19.2,15.64,16.76,2758110,"165,872,000"
21-Jan-18,21.72,21.97,16.05,17.86,5865730,"199,200,000"
20-Jan-18,29.33,30.98,21.76,21.81,7054180,"268,947,000"
19-Jan-18,35.68,41.94,24.56,29.11,18658000,"327,092,000"
18-Jan-18,23.84,82.43,22.79,37.68,57434000,"187,904,000"
17-Jan-18,21.7,44.59,5.69,22.48,24796900,"136,694,000"
16-Jan-18,255.91,331.06,19.28,19.28,5920560,"1,601,140,000"
15-Jan-18,290.84,304.5,240.19,256.07,2261840,"1,818,670,000"
14-Jan-18,318.31,321.25,281.03,293.36,4351920,"1,976,960,000"
13-Jan-18,322.83,328.83,313.9,318.02,14232700,"2,003,960,000"
12-Jan-18,300.1,328.78,289.78,322.98,23119700,"1,862,040,000"
11-Jan-18,324.83,328.61,281.29,302.19,27349500,"2,008,750,000"
10-Jan-18,353.65,353.65,311.02,327.27,25960000,"-2,109,097,296"
09-Jan-18,360.25,371.85,343.2,353.23,22227900,"-2,069,387,296"
08-Jan-18,375.03,382.83,335.59,361.85,19204000,"-1,979,107,296"
07-Jan-18,449.02,449.02,372.9,376.96,21804900,"-1,524,417,296"
06-Jan-18,402.66,451.29,394,449.47,24776400,"-1,812,457,296"
05-Jan-18,428.6,429.67,397.46,402.82,36359800,"-1,653,497,296"
04-Jan-18,450.46,451.06,409.01,428.53,24251600,"-1,520,217,296"
03-Jan-18,428.23,447.77,419.69,447.53,27060700,"-1,658,787,296"
02-Jan-18,385.47,429.82,366.95,428.6,25422700,"-1,907,757,296"
01-Jan-18,420.98,445.46,376.74,385.5,27366000,"-1,689,227,296"
