Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,39.41,43.96,38.23,38.47,1175890000,"-354,957,296"
19-Feb-18,34.69,40.26,33.93,39.29,992256000,"-827,107,296"
18-Feb-18,35.01,35.08,31.52,34.88,456829000,"-796,577,296"
17-Feb-18,34.97,35.4,34.38,34.99,418534000,"-801,317,296"
16-Feb-18,34.43,35.34,32.9,35.03,456754000,"-855,787,296"
15-Feb-18,34.83,35.65,32.83,34.53,635228000,"-816,997,296"
14-Feb-18,34.32,36.44,33.4,35.04,1055340000,"-868,107,296"
13-Feb-18,29.88,34.73,28.32,33.96,1135950000,"-1,312,237,296"
12-Feb-18,24.31,30.33,24.31,29.88,541766000,"-1,869,167,296"
11-Feb-18,24.53,26,21.42,24.13,378189000,"-1,847,567,296"
10-Feb-18,25.95,26.65,23.08,24.52,256181000,"-1,706,327,296"
09-Feb-18,21.89,26.21,21,26,393049000,"-2,112,437,296"
08-Feb-18,18.15,21.96,18.15,21.79,265155000,"1,809,300,000"
07-Feb-18,19.18,20.45,17.45,18.16,212987000,"1,912,010,000"
06-Feb-18,16.75,19.42,14.06,19.39,318212000,"1,669,530,000"
05-Feb-18,20.76,21.19,15.89,16.53,171500000,"2,068,330,000"
04-Feb-18,24.19,24.73,19.91,21.04,218348000,"-1,885,757,296"
03-Feb-18,23.15,24.74,20.76,24.2,179081000,"-1,989,497,296"
02-Feb-18,24.95,24.95,18.37,23.07,340095000,"-1,810,777,296"
01-Feb-18,28.77,28.88,23.74,24.97,251254000,"-1,431,187,296"
31-Jan-18,27.21,28.76,25.96,28.76,271852000,"-1,587,527,296"
30-Jan-18,31.77,31.77,26.98,27.13,235160000,"-1,134,477,296"
29-Jan-18,33.21,33.66,30.97,31.71,197076000,"-991,727,296"
28-Jan-18,29.62,34.4,29.62,32.9,350799000,"-1,349,687,296"
27-Jan-18,28.76,30.13,28.15,29.49,127839000,"-1,436,357,296"
26-Jan-18,29.1,29.69,26.82,28.8,198045000,"-1,402,587,296"
25-Jan-18,29.89,30.39,28.79,29.19,162749000,"-1,325,177,296"
24-Jan-18,28.47,30.54,28.08,29.6,187789000,"-1,466,617,296"
23-Jan-18,29.28,30.17,26.55,28.37,230031000,"-1,387,477,296"
22-Jan-18,30.59,32.84,26.92,29.26,321230000,"-1,257,567,296"
21-Jan-18,35.49,36.21,29.28,30.32,381507000,"-771,657,296"
20-Jan-18,32.09,35.56,32.09,35.01,418291000,"-1,110,197,296"
19-Jan-18,30.03,34.34,29.07,31.7,394037000,"-1,315,707,296"
18-Jan-18,29.24,32.89,28.02,30.19,455046000,"-1,394,137,296"
17-Jan-18,28.38,30.36,22.49,29.12,598707000,"-1,480,087,296"
16-Jan-18,40.49,40.49,23.26,28.46,699985000,"-280,897,296"
15-Jan-18,42.68,43.7,40.43,40.5,615007000,"-64,457,296"
14-Jan-18,42.89,46.5,40.85,42.96,1314400000,"-44,307,296"
13-Jan-18,36.18,43.16,35.78,42.39,876581000,"-710,317,296"
12-Jan-18,33.06,37.03,31.91,36.4,536064000,"-1,020,217,296"
11-Jan-18,36.91,37.97,31.43,32.79,586658000,"-640,337,296"
10-Jan-18,38.13,39.27,34.68,36.95,862859000,"-520,227,296"
09-Jan-18,34.09,39.05,31.76,38.32,808371000,"-920,707,296"
08-Jan-18,41.12,44.41,29.53,34.19,798928000,"-225,857,296"
07-Jan-18,38.44,42.44,38.42,40.79,423276000,"-492,097,296"
06-Jan-18,36.31,38.99,35.9,38.42,362469000,"-703,247,296"
05-Jan-18,36.17,38.28,35.9,36.2,517583000,"-718,247,296"
04-Jan-18,34.44,39.35,32.31,36.32,1733940000,"-890,037,296"
03-Jan-18,34.91,35.51,32.84,34.86,910507000,"-844,567,296"
02-Jan-18,34.46,38.03,34.05,34.92,615984000,"-889,837,296"
01-Jan-18,28.05,37.03,27.32,34.17,870413000,"-1,524,207,296"
31-Dec-17,26.74,28.43,26.64,28,169331000,"-1,654,367,296"
30-Dec-17,30.04,30.04,26.25,26.92,241645000,"-1,329,067,296"
29-Dec-17,29.65,30.67,28.16,30.03,239663000,"-1,368,567,296"
28-Dec-17,32.16,32.24,28.28,29.53,307104000,"-1,121,187,296"
27-Dec-17,32.83,33.22,31.26,32.14,217743000,"-1,055,837,296"
