Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,943.57,965.26,892.95,895.37,-1749707296,"2,012,186,784"
19-Feb-18,921.67,957.78,921.55,943.87,-2125947296,"-146,613,216"
18-Feb-18,973.35,982.93,915.45,923.92,-1727677296,"587,819,488"
17-Feb-18,944.75,976.6,940.75,974.12,-1769247296,"2,069,686,784"
16-Feb-18,934.79,950,917.85,944.21,-1925517296,"1,077,786,784"
15-Feb-18,923.73,951.95,911.11,936.98,-1394867296,"-21,013,216"
14-Feb-18,844.28,926.43,844.28,923.56,-1476597296,"796,221,376"
13-Feb-18,869.29,870.71,828.84,845.26,2081170000,"-1,075,145,920"
12-Feb-18,817.51,875.94,817.51,868.71,-2051517296,"-1,849,978,624"
11-Feb-18,859.29,859.29,788.22,814.66,-1808317296,"-2,086,345,920"
10-Feb-18,882.47,917.4,825.58,860.41,-1364437296,"156,254,080"
09-Feb-18,818.48,884,788.83,883.87,-1799147296,"-1,805,078,624"
08-Feb-18,755.84,845.09,755.84,817.81,-586777296,"662,455,968"
07-Feb-18,790.43,851.2,723.43,757.07,-398787296,"-277,411,328"
06-Feb-18,707.74,796.44,574.42,793.12,-2071664592,"239,223,264"
05-Feb-18,834.96,856.65,644.6,697.95,-25437296,"-266,978,624"
04-Feb-18,964.67,969.03,805.06,834.68,-1297877296,"-535,880,512"
03-Feb-18,919.21,991.94,847.69,964.02,-1051487296,"-686,713,216"
02-Feb-18,1035.77,1035.77,757.98,915.78,-1876644592,"2,051,752,192"
01-Feb-18,1119.37,1161.35,984.82,1036.79,966712704,"1,577,817,600"
31-Jan-18,1071.09,1128.66,1034.5,1118.31,-537407296,"1,151,784,896"
30-Jan-18,1184.13,1184.63,1058.97,1071.13,-187107296,"-757,116,992"
29-Jan-18,1246.7,1256.7,1169.08,1182.36,-579887296,"1,009,915,712"
28-Jan-18,1111.78,1257.77,1111.78,1246.01,1077362704,"747,817,600"
27-Jan-18,1055.75,1121.98,1042.12,1107.07,-1292097296,"-428,215,104"
26-Jan-18,1052.7,1080.6,996.78,1055.17,-677277296,"-745,215,104"
25-Jan-18,1063.22,1104.66,1034.74,1056.03,-244777296,"255,784,896"
24-Jan-18,987.48,1062.44,965.81,1058.78,-350927296,"1,463,419,488"
23-Jan-18,1004.17,1023.23,920.54,986.23,-738267296,"-1,229,947,808"
22-Jan-18,1055.35,1089.1,930.74,1003.26,-484867296,"-575,215,104"
21-Jan-18,1155.68,1155.68,1021.5,1049.58,-916877296,"556,850,304"
20-Jan-18,1044.95,1167.11,1044.95,1155.15,-319777296,"-1,628,215,104"
19-Jan-18,1028.82,1093.22,1003.71,1039.1,-210517296,"1,079,652,192"
18-Jan-18,1016.44,1100.31,967.76,1036.28,1643352704,"-142,147,808"
17-Jan-18,1061.34,1090.23,780.92,1014.25,-44774592,"-105,215,104"
16-Jan-18,1292.63,1292.63,875.54,1053.69,-184794592,"834,948,416"
15-Jan-18,1365.21,1390.59,1290.6,1291.92,486132704,"-739,986,176"
14-Jan-18,1397.48,1400.56,1286.21,1366.77,546662704,"-1,935,953,472"
13-Jan-18,1270.47,1432.88,1270.47,1396.42,1451792704,"-1,391,051,584"
12-Jan-18,1158.29,1296.04,1120.09,1273.2,927332704,"593,850,304"
11-Jan-18,1268.09,1337.3,1135.17,1154.93,-1354034592,"-1,675,051,584"
10-Jan-18,1300.34,1417.38,1226.6,1255.82,625015408,"1,421,948,416"
09-Jan-18,1146,1320.98,1145.49,1299.74,-624474592,"-670,149,696"
08-Jan-18,1158.26,1266.93,1016.05,1148.53,-138964592,"494,850,304"
07-Jan-18,1043.01,1153.17,1043.01,1153.17,1274912704,"-2,098,215,104"
06-Jan-18,995.15,1060.71,994.62,1041.68,367252704,"1,837,219,488"
05-Jan-18,975.75,1075.39,956.33,997.72,-1906784592,"-65,380,512"
04-Jan-18,961.71,1045.08,946.09,980.92,-2087074592,"-1,439,880,512"
03-Jan-18,886,974.47,868.45,962.72,798192704,"-195,845,920"
02-Jan-18,772.35,914.83,772.35,884.44,1488382704,"1,681,255,968"
01-Jan-18,755.76,782.53,742,772.64,-1699207296,"61,355,968"
31-Dec-17,712.21,760.35,710.12,756.73,-1740697296,"131,323,264"
30-Dec-17,753.82,753.82,685.23,717.26,-1107187296,"-157,544,032"
29-Dec-17,740.39,770.12,729.61,753.59,-1645997296,"-1,470,144,032"
28-Dec-17,762.21,763.32,701.19,737.02,-1905817296,"622,655,968"
27-Dec-17,774.97,789.25,738.41,762.84,2100030000,"1,839,655,968"
26-Dec-17,763.37,786.79,760.93,773.84,-2093807296,"703,355,968"
25-Dec-17,698.87,782.52,698.87,765.83,-1803207296,"-1,244,376,736"
24-Dec-17,721.77,721.77,614.92,694.15,-1994417296,"951,723,264"
23-Dec-17,681.32,763.89,679.73,719.39,-1814627296,"1,327,590,560"
22-Dec-17,822.64,827.68,543.76,674.86,682742704,"2,064,988,672"
21-Dec-17,820.24,880.54,792.69,821.06,-725907296,"1,815,888,672"
20-Dec-17,827.52,845.06,756,819.09,-325027296,"-1,793,778,624"
19-Dec-17,793.9,881.94,785.34,826.82,-198417296,"-757,211,328"
18-Dec-17,721.73,803.93,689.23,794.64,-1045737296,"858,923,264"
17-Dec-17,696.24,735.83,696.24,719.98,2147390000,"-1,613,076,736"
16-Dec-17,686.19,718.38,680.79,696.21,-2129277296,"1,699,690,560"
15-Dec-17,696.38,697.13,621.06,684.45,-1536257296,"-1,628,576,736"
14-Dec-17,700.59,753.12,664.99,695.82,-473387296,"-1,236,576,736"
13-Dec-17,644.91,747.99,597.8,702.77,229572704,"1,976,057,856"
12-Dec-17,522.29,657.32,504.49,651.43,884862704,"-1,253,207,552"
11-Dec-17,440.36,516.97,439.1,515.14,1771440000,"-560,372,960"
10-Dec-17,472.79,472.79,429.51,441.72,1404180000,"-1,743,240,256"
09-Dec-17,457.34,504.15,456.25,473.5,2003850000,"1,055,927,040"
08-Dec-17,434.99,466.06,422.37,456.03,-1958587296,"-1,103,872,960"
07-Dec-17,426.37,441.4,414.41,434.41,2129570000,"-1,942,072,960"
06-Dec-17,462.6,462.71,420.21,428.59,1998260000,"1,533,427,040"
05-Dec-17,470.29,473.56,457.66,463.28,1216720000,"-2,031,840,256"
04-Dec-17,466.05,474.78,453.31,470.2,1005550000,"1,846,027,040"
03-Dec-17,463.7,482.81,451.85,465.85,990557000,"1,610,827,040"
02-Dec-17,466.85,476.24,456.65,463.45,943650000,"1,903,627,040"
01-Dec-17,445.21,472.61,428.31,466.54,1247880000,"-184,672,960"
30-Nov-17,431.21,465.5,401.24,447.11,1903040000,"-1,537,772,960"
29-Nov-17,473.28,522.31,425.07,427.52,-1619027296,"-1,802,540,256"
28-Nov-17,480.52,482.48,466.35,472.9,1346500000,"-1,117,440,256"
27-Nov-17,471.53,493.4,468.49,480.36,1396480000,"-1,989,640,256"
26-Nov-17,465.97,472.72,451.61,471.33,1197780000,"1,762,427,040"
25-Nov-17,475.68,485.19,461.05,466.28,1422080000,"-1,611,240,256"
24-Nov-17,412.5,480.97,402.76,474.91,-2002137296,"909,594,336"
23-Nov-17,381.44,425.55,376.09,410.17,1845680000,"-2,077,405,664"
22-Nov-17,360.31,381.42,360.15,380.65,800819000,"184,261,632"
21-Nov-17,367.44,372.47,350.69,360.4,949912000,"860,461,632"
20-Nov-17,354.09,372.14,353.29,366.73,807027000,"-426,338,368"
19-Nov-17,347.4,371.29,344.74,354.39,1181530000,"-1,074,838,368"
18-Nov-17,331.98,349.62,327.69,347.61,649639000,"1,735,928,928"
17-Nov-17,330.17,334.96,327.52,332.39,621733000,"1,555,528,928"
16-Nov-17,333.44,336.16,323.61,330.92,797254000,"1,862,528,928"
15-Nov-17,337.96,340.91,329.81,333.36,722666000,"-2,006,538,368"
14-Nov-17,316.76,340.18,316.76,337.63,1069680000,"252,528,928"
13-Nov-17,307.02,328.42,307.02,316.72,1041890000,"-685,771,072"
12-Nov-17,314.69,319.15,298.51,307.91,1613480000,"41,428,928"
11-Nov-17,298.59,319.45,298.19,314.68,842301000,"-1,505,371,072"
