Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,2.09,2.12,1.88,1.91,49930400,"1,505,542,704"
19-Feb-18,1.99,2.14,1.99,2.09,32581400,"1,226,642,704"
18-Feb-18,2.2,2.21,1.98,1.98,43653800,"1,826,652,704"
17-Feb-18,2.1,2.21,2.08,2.2,42149700,"1,547,172,704"
16-Feb-18,2.12,2.18,2,2.1,44770200,"1,599,552,704"
15-Feb-18,2.03,2.17,2,2.13,65315300,"1,340,392,704"
14-Feb-18,1.82,2.03,1.79,2.03,53007600,"757,482,704"
13-Feb-18,1.87,1.87,1.75,1.81,30056900,"916,632,704"
12-Feb-18,1.71,1.91,1.71,1.87,36974300,"468,812,704"
11-Feb-18,1.86,1.86,1.62,1.7,45356200,"870,212,704"
10-Feb-18,1.96,2.13,1.79,1.86,68051900,"1,142,952,704"
09-Feb-18,1.78,1.97,1.7,1.96,45992000,"658,752,704"
08-Feb-18,1.61,1.85,1.61,1.78,51576300,"180,722,704"
07-Feb-18,1.62,1.88,1.53,1.6,65922600,"196,582,704"
06-Feb-18,1.48,1.7,1.2,1.62,101327000,"-190,157,296"
05-Feb-18,1.75,1.77,1.35,1.45,69213800,"572,852,704"
04-Feb-18,1.98,2.07,1.64,1.74,59380900,"1,208,812,704"
03-Feb-18,1.81,2.02,1.63,1.99,64062000,"728,082,704"
02-Feb-18,1.9,1.92,1.41,1.81,118068000,"985,772,704"
01-Feb-18,2.31,2.33,1.75,1.91,108876000,"2,125,002,704"
31-Jan-18,2.22,2.34,2.18,2.31,48505200,"1,868,012,704"
30-Jan-18,2.59,2.64,2.2,2.22,94218100,"-1,394,714,592"
29-Jan-18,2.52,2.58,2.4,2.58,60210600,"-1,582,404,592"
28-Jan-18,2.46,2.56,2.46,2.52,47752200,"-1,759,384,592"
27-Jan-18,2.38,2.49,2.37,2.45,43333600,"-1,982,264,592"
26-Jan-18,2.36,2.45,2.2,2.37,62216500,"-2,031,824,592"
25-Jan-18,2.46,2.59,2.34,2.37,56586500,"-1,744,784,592"
24-Jan-18,2.52,2.57,2.37,2.43,73441600,"-1,591,874,592"
23-Jan-18,2.47,2.62,2.24,2.5,81217500,"-1,728,364,592"
22-Jan-18,2.78,2.9,2.18,2.47,125555000,"-851,824,592"
21-Jan-18,3.01,3.01,2.64,2.77,94697300,"-231,194,592"
20-Jan-18,2.71,3.14,2.71,3,140378000,"-1,059,704,592"
19-Jan-18,2.75,2.93,2.56,2.7,103437000,"-959,174,592"
18-Jan-18,2.72,3.03,2.6,2.75,125440000,"-1,030,424,592"
17-Jan-18,2.6,2.92,1.99,2.72,239578000,"-1,354,424,592"
16-Jan-18,3.47,3.47,2,2.6,256703000,"1,056,565,408"
15-Jan-18,3.72,3.76,3.48,3.48,94966600,"1,744,465,408"
14-Jan-18,3.93,3.98,3.58,3.74,130318000,"-1,947,901,888"
13-Jan-18,3.7,4.1,3.7,3.94,198149000,"1,694,665,408"
12-Jan-18,3.38,3.73,3.29,3.69,129802000,"803,455,408"
11-Jan-18,3.78,3.82,3.18,3.37,245028000,"1,906,365,408"
10-Jan-18,3.56,3.78,3.21,3.78,235594000,"1,293,065,408"
09-Jan-18,3.84,3.92,3.45,3.54,200086000,"2,090,565,408"
08-Jan-18,4.07,4.19,3.36,3.85,317248000,"-1,570,401,888"
07-Jan-18,3.95,4.58,3.93,4.07,249833000,"-1,916,601,888"
06-Jan-18,3.75,4.19,3.75,3.94,161228000,"1,846,965,408"
05-Jan-18,4.06,4.2,3.66,3.75,219320000,"-1,598,301,888"
04-Jan-18,4.13,4.5,3.76,4.08,376974000,"-1,418,501,888"
03-Jan-18,4,4.19,3.9,4.13,203783000,"-1,775,201,888"
02-Jan-18,4.09,4.31,3.84,4,269750000,"-1,521,501,888"
01-Jan-18,3.56,4.36,3.42,3.97,256630000,"1,293,815,408"
31-Dec-17,3.3,3.66,3.3,3.55,167521000,"592,905,408"
30-Dec-17,3.7,3.72,3.01,3.34,245624000,"1,689,765,408"
29-Dec-17,3.7,3.89,3.49,3.69,187729000,"1,680,565,408"
28-Dec-17,3.72,3.75,3.33,3.68,217902000,"1,756,065,408"
27-Dec-17,3.81,4.48,3.62,3.74,297053000,"2,003,265,408"
26-Dec-17,3.49,3.82,3.49,3.8,178890000,"1,113,135,408"
25-Dec-17,3.49,3.81,3.29,3.5,172138000,"1,114,705,408"
24-Dec-17,3.61,3.64,2.95,3.48,278148000,"1,456,165,408"
23-Dec-17,3.51,4.21,3.39,3.61,236435000,"1,173,995,408"
22-Dec-17,5.08,5.11,2.8,3.45,826429000,"1,224,798,112"
21-Dec-17,5.08,5.51,4.86,5.03,434568000,"1,235,998,112"
20-Dec-17,5.37,5.52,4.69,5.09,611582000,"2,044,098,112"
19-Dec-17,4.24,5.69,3.88,5.37,1117890000,"-1,088,601,888"
18-Dec-17,3.95,4.36,3.65,4.24,447675000,"-1,907,501,888"
17-Dec-17,3.65,4.04,3.48,3.93,354390000,"1,548,065,408"
16-Dec-17,3.91,4.07,3.48,3.63,285374000,"-2,008,801,888"
15-Dec-17,3.77,4.06,3.37,3.9,427330000,"1,899,665,408"
14-Dec-17,4.06,4.24,3.38,3.78,568923000,"-1,604,001,888"
13-Dec-17,4.72,4.75,3.77,4.09,498435000,"227,698,112"
12-Dec-17,4.26,5.03,4.18,4.72,679346000,"-1,032,001,888"
11-Dec-17,4.14,4.58,4.12,4.27,409780000,"-1,372,001,888"
10-Dec-17,4.66,4.66,3.77,4.13,601040000,"61,498,112"
09-Dec-17,5.05,5.28,4.25,4.68,674566000,"1,144,698,112"
08-Dec-17,4.14,5.01,3.63,5.01,928042000,"-1,372,101,888"
07-Dec-17,4.47,4.54,3.1,4.14,1260950000,"-468,701,888"
06-Dec-17,3.81,5.55,3.66,4.36,2126970000,"2,003,665,408"
05-Dec-17,2.8,3.97,2.45,3.84,1417380000,"-811,764,592"
04-Dec-17,1.89,2.98,1.89,2.76,1090620000,"970,102,704"
03-Dec-17,1.44,2.02,1.43,1.88,401418000,"-290,767,296"
02-Dec-17,1.42,1.45,1.35,1.44,115656000,"-346,167,296"
01-Dec-17,1.31,1.49,1.23,1.45,141192000,"-655,527,296"
30-Nov-17,1.27,1.39,1.13,1.33,179224000,"-754,267,296"
29-Nov-17,1.48,1.56,1.13,1.25,294702000,"-177,957,296"
28-Nov-17,1.04,1.5,1.03,1.5,465727000,"-1,390,837,296"
27-Nov-17,0.844828,1.1,0.799566,1.04,174455000,"-1,946,737,296"
26-Nov-17,0.804621,0.841932,0.763788,0.841932,47779300,"-2,058,497,296"
25-Nov-17,0.78773,0.85382,0.718574,0.806117,64910500,"-2,105,447,296"
24-Nov-17,0.793492,0.796914,0.687301,0.786914,113159000,"-2,089,437,296"
23-Nov-17,0.897425,0.91535,0.789444,0.793487,64619700,"-1,800,547,296"
22-Nov-17,0.889204,0.957121,0.854097,0.89957,69568700,"-1,823,397,296"
21-Nov-17,0.96561,0.985799,0.776513,0.888499,123514000,"-1,611,027,296"
20-Nov-17,0.862672,0.992344,0.858567,0.966548,92042900,"-1,897,147,296"
19-Nov-17,0.816643,0.878973,0.80899,0.864638,61681300,"-2,025,087,296"
18-Nov-17,0.791203,0.848357,0.752962,0.823032,57802400,"-2,095,797,296"
17-Nov-17,0.830897,0.875845,0.731393,0.792462,102001000,"-1,985,467,296"
16-Nov-17,0.792688,0.893702,0.713337,0.823941,132320000,"-2,091,667,296"
15-Nov-17,0.610165,0.785823,0.610165,0.785823,87041500,"1,695,970,000"
14-Nov-17,0.586061,0.618325,0.53829,0.610332,33932000,"1,628,970,000"
13-Nov-17,0.59401,0.652501,0.573934,0.591634,37718000,"1,651,070,000"
12-Nov-17,0.62608,0.636028,0.508265,0.593716,44517800,"1,740,210,000"
11-Nov-17,0.501986,0.621817,0.497991,0.621817,42375200,"1,395,280,000"
10-Nov-17,0.529091,0.562467,0.459485,0.504601,44756700,"1,470,620,000"
09-Nov-17,0.475964,0.593595,0.467588,0.535435,69996800,"1,322,960,000"
08-Nov-17,0.384301,0.488848,0.381925,0.475925,44738600,"1,068,180,000"
07-Nov-17,0.371509,0.397608,0.362284,0.383096,15415700,"1,032,620,000"
06-Nov-17,0.351011,0.378777,0.338867,0.373939,13258400,"975,647,000"
05-Nov-17,0.367915,0.37091,0.335194,0.350084,12950500,"1,022,630,000"
04-Nov-17,0.391327,0.391546,0.365428,0.368643,8568260,"1,087,700,000"
03-Nov-17,0.36297,0.396015,0.358817,0.393126,11427900,"1,008,890,000"
02-Nov-17,0.370966,0.380213,0.320862,0.366056,20942000,"1,031,110,000"
01-Nov-17,0.390863,0.390863,0.35669,0.36392,11944600,"1,086,410,000"
31-Oct-17,0.407912,0.40834,0.390312,0.390915,7839910,"1,133,800,000"
30-Oct-17,0.403103,0.415571,0.385603,0.409046,9124580,"1,120,440,000"
29-Oct-17,0.395947,0.413541,0.367674,0.40372,15972200,"1,100,550,000"
28-Oct-17,0.424433,0.428173,0.391215,0.395483,9075000,"1,179,720,000"
27-Oct-17,0.416744,0.439441,0.395594,0.423355,8963410,"1,158,350,000"
26-Oct-17,0.443666,0.455887,0.411928,0.417107,10747100,"1,233,180,000"
25-Oct-17,0.455356,0.473467,0.430005,0.443448,14379600,"1,265,680,000"
24-Oct-17,0.389144,0.502278,0.377494,0.453682,47178400,"1,081,640,000"
23-Oct-17,0.391371,0.399234,0.36494,0.386487,12380800,"1,087,830,000"
22-Oct-17,0.390836,0.411999,0.381438,0.392542,9322400,"1,086,340,000"
21-Oct-17,0.403854,0.406504,0.32436,0.393045,20120500,"1,122,530,000"
20-Oct-17,0.432863,0.435639,0.39163,0.401913,17771900,"1,203,160,000"
19-Oct-17,0.457196,0.465953,0.415102,0.433388,12250600,"1,270,790,000"
18-Oct-17,0.474621,0.482291,0.427958,0.454575,12433700,"1,319,220,000"
17-Oct-17,0.452052,0.504408,0.434911,0.468463,12590200,"1,256,490,000"
16-Oct-17,0.439699,0.459618,0.42375,0.450655,8128940,"1,222,160,000"
15-Oct-17,0.458649,0.460506,0.414704,0.438429,8256490,"1,274,830,000"
14-Oct-17,0.441808,0.482837,0.431503,0.457837,11493700,"1,228,020,000"
13-Oct-17,0.412854,0.445985,0.403912,0.441595,14821100,"1,147,540,000"
12-Oct-17,0.481734,0.486223,0.391482,0.412417,16792100,"1,338,990,000"
11-Oct-17,0.477029,0.488967,0.464757,0.481464,6996130,"1,325,920,000"
10-Oct-17,0.466453,0.488517,0.452723,0.477576,7401800,"1,296,520,000"
09-Oct-17,0.500356,0.501909,0.439523,0.469438,18097100,"1,390,760,000"
08-Oct-17,0.534649,0.538526,0.492876,0.500032,9637830,"1,486,070,000"
07-Oct-17,0.504488,0.548719,0.490615,0.538529,9848850,"1,402,240,000"
06-Oct-17,0.543216,0.562671,0.493282,0.503448,12478500,"1,509,890,000"
05-Oct-17,0.547394,0.567734,0.520702,0.540915,7592760,"1,521,500,000"
04-Oct-17,0.560853,0.570545,0.520099,0.546982,9152780,"1,558,910,000"
03-Oct-17,0.577182,0.582044,0.516038,0.561712,13709400,"1,604,290,000"
02-Oct-17,0.61818,0.62209,0.565055,0.575398,13928300,"1,718,250,000"
01-Oct-17,0.62175,0.628776,0.592742,0.610183,8576220,"1,728,170,000"
30-Sep-17,0.584318,0.646884,0.57615,0.620822,21825700,"1,624,130,000"
29-Sep-17,0.595143,0.609587,0.543016,0.584418,16689800,"1,654,220,000"
28-Sep-17,0.549661,0.614313,0.52827,0.595896,23776300,"1,527,800,000"
27-Sep-17,0.514224,0.554709,0.507709,0.551005,12188400,"1,429,300,000"
26-Sep-17,0.55667,0.560043,0.507645,0.515205,14671500,"1,547,280,000"
25-Sep-17,0.524449,0.566395,0.524449,0.556207,10506400,"1,457,720,000"
24-Sep-17,0.540538,0.541688,0.506966,0.521379,9199830,"1,502,440,000"
23-Sep-17,0.507613,0.551145,0.494903,0.541796,8486720,"1,410,930,000"
22-Sep-17,0.499185,0.517458,0.476075,0.50601,8860800,"1,387,500,000"
21-Sep-17,0.567586,0.569993,0.467953,0.500724,18553300,"1,577,620,000"
20-Sep-17,0.559849,0.58568,0.543853,0.566627,8802430,"1,556,120,000"
19-Sep-17,0.608275,0.614231,0.555303,0.565168,12972000,"1,690,720,000"
18-Sep-17,0.496796,0.612485,0.496796,0.606233,28609000,"1,380,860,000"
17-Sep-17,0.484758,0.505875,0.462614,0.497046,7574760,"1,347,400,000"
16-Sep-17,0.479385,0.510361,0.453232,0.487239,13452000,"1,332,470,000"
15-Sep-17,0.4457,0.509332,0.372595,0.48051,41983100,"1,238,840,000"
14-Sep-17,0.565841,0.57363,0.445019,0.445019,25946400,"1,572,770,000"
13-Sep-17,0.592512,0.595366,0.479349,0.55682,31807500,"1,646,910,000"
12-Sep-17,0.561696,0.647193,0.557297,0.591949,43345900,"1,561,250,000"
11-Sep-17,0.49838,0.558273,0.481498,0.558273,23660500,"1,385,260,000"
10-Sep-17,0.561304,0.56787,0.462834,0.495607,32733100,"1,560,160,000"
09-Sep-17,0.525939,0.583964,0.524823,0.560809,15317400,"1,461,860,000"
08-Sep-17,0.648249,0.660258,0.490346,0.540475,48691600,"1,801,830,000"
07-Sep-17,0.739668,0.739668,0.622366,0.645758,31377000,"2,055,930,000"
06-Sep-17,0.613529,0.749172,0.601484,0.741663,33093300,"1,705,320,000"
05-Sep-17,0.544132,0.646085,0.468949,0.613085,45817500,"1,512,430,000"
04-Sep-17,0.744257,0.744257,0.406795,0.566472,74601300,"2,068,680,000"
03-Sep-17,0.698855,0.775863,0.67285,0.743968,29504600,"1,942,490,000"
02-Sep-17,0.79656,0.802464,0.658006,0.695547,39333900,"-2,080,907,296"
01-Sep-17,0.842867,0.8791,0.768119,0.807778,28047000,"-1,952,197,296"
31-Aug-17,0.869553,0.902074,0.828224,0.842424,15194300,"-1,878,017,296"
30-Aug-17,0.812777,0.878203,0.792339,0.869647,17428100,"-2,035,827,296"
29-Aug-17,0.876892,0.877578,0.746405,0.811961,28538500,"-1,857,617,296"
28-Aug-17,0.922464,0.927742,0.784779,0.875197,24288200,"-1,730,947,296"
27-Aug-17,0.962058,0.979088,0.887365,0.920351,17816000,"-1,620,897,296"
26-Aug-17,0.915926,0.970068,0.877886,0.962213,16623100,"-1,749,127,296"
25-Aug-17,0.894733,0.934651,0.837866,0.919635,18226300,"-1,808,027,296"
24-Aug-17,0.854043,0.895101,0.81388,0.895101,17132900,"-1,921,127,296"
23-Aug-17,0.842517,0.940389,0.834667,0.850371,27418300,"-1,953,167,296"
22-Aug-17,0.901778,0.901778,0.786259,0.843775,26333800,"-1,788,447,296"
21-Aug-17,0.907423,0.939166,0.843577,0.906269,32558600,"-1,772,757,296"
20-Aug-17,0.971222,1.02,0.939619,0.942205,29447600,"-1,595,427,296"
19-Aug-17,0.87158,0.985748,0.778133,0.978521,39975500,"-1,872,387,296"
18-Aug-17,1.01,1.03,0.7744,0.870147,58053400,"-1,475,887,296"
17-Aug-17,1.04,1.1,0.998241,1.02,58209300,"-1,390,947,296"
16-Aug-17,0.914727,1.05,0.878567,1.05,52081500,"-1,752,457,296"
15-Aug-17,0.97732,0.995791,0.767236,0.917949,84698300,"-1,578,477,296"
14-Aug-17,0.811738,0.976404,0.793682,0.976404,54630900,"-2,038,717,296"
13-Aug-17,0.722169,0.82953,0.715382,0.807713,41198400,"2,007,290,000"
12-Aug-17,0.655191,0.72796,0.625521,0.721535,20358000,"1,821,120,000"
11-Aug-17,0.565525,0.710585,0.557827,0.654872,43618800,"1,571,890,000"
10-Aug-17,0.535805,0.588071,0.51325,0.566456,16602500,"1,489,290,000"
09-Aug-17,0.547121,0.555125,0.512566,0.543328,13294400,"1,520,740,000"
08-Aug-17,0.473874,0.55088,0.458992,0.547637,21988500,"1,317,150,000"
07-Aug-17,0.430804,0.491028,0.418088,0.474577,14717700,"1,197,430,000"
06-Aug-17,0.40769,0.440193,0.396851,0.431142,6276510,"1,133,190,000"
05-Aug-17,0.393176,0.427798,0.364083,0.40798,9091140,"1,092,850,000"
04-Aug-17,0.332239,0.420252,0.332239,0.391286,20179000,"923,468,000"
03-Aug-17,0.286578,0.336844,0.284765,0.332352,8239810,"796,552,000"
02-Aug-17,0.290135,0.293039,0.272032,0.286116,3439800,"806,440,000"
01-Aug-17,0.256665,0.296267,0.249623,0.29022,5169910,"713,408,000"
31-Jul-17,0.255064,0.25981,0.245768,0.254732,2563820,"708,959,000"
30-Jul-17,0.277339,0.279401,0.252831,0.254785,3165840,"770,872,000"
29-Jul-17,0.266567,0.277226,0.245848,0.27519,2788270,"740,931,000"
28-Jul-17,0.274876,0.278459,0.262736,0.265118,2884740,"764,026,000"
