Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,223.09,253.9,222.51,232.85,1739670000,"-549,801,888"
19-Feb-18,215.41,226.97,215.38,223.06,767597000,"-977,001,888"
18-Feb-18,230.51,232.64,214.46,215.74,1011120000,"-146,101,888"
17-Feb-18,229.5,233.45,225.6,229.47,863401000,"-205,201,888"
16-Feb-18,225.5,236.09,212.33,230.12,1300090000,"-429,601,888"
15-Feb-18,212.35,237.88,211.17,225.43,2087290000,"-1,159,201,888"
14-Feb-18,159.58,218.23,159.58,213.36,-1911627296,"219,655,408"
13-Feb-18,161.78,162.37,153.51,159.55,483468000,"338,425,408"
12-Feb-18,150.1,163.35,150.1,161.57,535710000,"-307,884,592"
11-Feb-18,155.39,155.73,142.61,148.99,495720000,"-18,404,592"
10-Feb-18,163.49,169.33,149.14,155.59,576328000,"425,955,408"
09-Feb-18,149.73,163.98,142.59,163.95,722205000,"-334,954,592"
08-Feb-18,138.34,151.08,138.34,149.47,869207000,"-965,304,592"
07-Feb-18,142.48,157.9,131.52,138.2,817808000,"-738,834,592"
06-Feb-18,127.52,146.11,106.94,142.99,1148410000,"-1,565,304,592"
05-Feb-18,148.73,153.52,118.15,125.33,844678000,"-399,354,592"
04-Feb-18,160.38,173.8,139.69,148.03,1006080000,"240,035,408"
03-Feb-18,131.4,165.56,121.17,160.25,687676000,"-1,357,524,592"
02-Feb-18,142.56,142.56,105.35,131.38,815540000,"-745,224,592"
01-Feb-18,163.68,165.81,131.55,142.3,539880000,"414,395,408"
31-Jan-18,165.3,167.07,157.65,163.35,363293000,"500,935,408"
30-Jan-18,181.44,181.52,163.03,165.28,433227000,"1,386,235,408"
29-Jan-18,193.75,194.39,179.23,181.66,303561000,"2,059,865,408"
28-Jan-18,181.42,194.68,181.42,193.87,363515000,"1,379,485,408"
27-Jan-18,176.66,183.15,174.88,180.89,291633000,"1,115,085,408"
26-Jan-18,179.82,182.89,167.08,176.73,375477000,"1,285,655,408"
25-Jan-18,181.56,185.42,176.35,180.27,363138000,"1,378,815,408"
24-Jan-18,178.43,186.28,173.72,179.99,375949000,"1,203,845,408"
23-Jan-18,180.28,186.31,165.73,177.81,441765000,"1,303,055,408"
22-Jan-18,191.79,195.25,166.88,180.01,494091000,"1,931,965,408"
21-Jan-18,211.24,211.24,184.64,190.42,463516000,"-1,299,201,888"
20-Jan-18,194.38,214.59,194.38,211.02,540786000,"2,068,365,408"
19-Jan-18,191.19,202.07,186.94,192.96,560284000,"1,890,865,408"
18-Jan-18,186.95,207.02,176.83,192.84,936784000,"1,655,565,408"
17-Jan-18,190.15,197.79,141.01,186.52,1422490000,"1,827,865,408"
16-Jan-18,232.82,232.82,152.29,188.33,1405070000,"-132,801,888"
15-Jan-18,237.29,245,232.77,232.77,601770000,"108,798,112"
14-Jan-18,260.58,270.85,234.27,238.68,886415000,"1,380,098,112"
13-Jan-18,236.88,263.19,236.88,259.19,961043000,"79,398,112"
12-Jan-18,229.79,243.59,224.82,236.86,691160000,"-312,001,888"
11-Jan-18,251.52,255.05,223,229.37,1079390000,"873,498,112"
10-Jan-18,248.07,251.05,233.86,250.52,1009910000,"681,398,112"
09-Jan-18,254.61,258.5,240.18,247.04,940825000,"1,035,298,112"
08-Jan-18,287.73,289.07,237.66,255.76,1182080000,"-1,453,069,184"
07-Jan-18,296.05,305.53,281.93,288.45,1055400000,"-1,001,769,184"
06-Jan-18,249.77,323.12,249.41,296.45,-2030227296,"760,398,112"
05-Jan-18,241.03,256.15,237.88,249.27,1710600000,"279,898,112"
04-Jan-18,245.47,245.47,227.01,241.37,-813417296,"518,498,112"
03-Jan-18,255.69,260.74,243.13,245.37,-1079687296,"1,072,898,112"
02-Jan-18,228.99,263.63,228.99,255.68,1237950000,"-388,001,888"
01-Jan-18,231.67,236.63,222.2,229.03,633142000,"-245,201,888"
31-Dec-17,216.97,237.79,213.81,232.1,771042000,"-1,049,801,888"
30-Dec-17,245.09,245.43,208.2,218.96,943667000,"479,898,112"
29-Dec-17,250.35,258.04,238.33,245.5,1392210000,"763,298,112"
28-Dec-17,272.13,273.18,231.38,249.93,-1701727296,"1,946,298,112"
27-Dec-17,286.59,290.94,264.42,272.17,777138000,"-1,564,669,184"
26-Dec-17,273.11,289.51,272.26,286.5,842993000,"1,991,498,112"
25-Dec-17,277.49,286.79,269.57,273.39,804377000,"-2,068,469,184"
24-Dec-17,291.01,291.01,251.04,275.98,1122910000,"-1,336,969,184"
23-Dec-17,269.27,312.67,261.64,288.27,1352580000,"1,770,298,112"
22-Dec-17,319.26,320.3,187.48,264.93,-1356927296,"191,330,816"
21-Dec-17,314.66,339.74,299.53,317.46,1555940000,"-63,269,184"
20-Dec-17,349.6,349.6,308.63,314.62,2104060000,"1,832,630,816"
19-Dec-17,359.13,375.29,335.68,350.25,-2144487296,"-1,949,336,480"
18-Dec-17,318.95,360.93,302,358.34,1966600000,"156,630,816"
17-Dec-17,301.78,332.59,301.78,318.72,1703580000,"-781,069,184"
16-Dec-17,299.34,309.9,290.13,298.97,1291380000,"-919,169,184"
15-Dec-17,280.97,316.41,251.22,299.78,-1695027296,"-1,921,369,184"
14-Dec-17,301.2,311.32,265.66,279.33,2114880000,"-827,469,184"
13-Dec-17,315.36,341.8,287.48,302.6,-885177296,"-63,369,184"
12-Dec-17,212.46,341.72,209.68,316.16,-1628254592,"-1,356,301,888"
11-Dec-17,148.26,225.29,147.34,214.2,-1380987296,"-547,914,592"
