Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,317,321.73,303.79,304.4,71114700,"694,742,704"
19-Feb-18,299.7,319.73,297.65,316.49,67482400,"421,492,704"
18-Feb-18,325.96,327.77,294.42,300.12,68135100,"833,452,704"
17-Feb-18,296,334.71,293.13,325.67,134269000,"360,852,704"
16-Feb-18,301.01,302.1,280.22,296.48,64320200,"438,672,704"
15-Feb-18,276.08,304.78,269.32,303.25,85772700,"45,652,704"
14-Feb-18,234.34,276.66,234.34,276.66,116137000,"-611,507,296"
13-Feb-18,247.99,248.88,230.03,234.69,46476400,"-397,817,296"
12-Feb-18,229.87,251.41,229.87,247.57,45760100,"-683,547,296"
11-Feb-18,249.44,249.44,219.23,229.49,51680100,"-376,997,296"
10-Feb-18,260.59,271.82,243.91,250.03,76435300,"-202,897,296"
09-Feb-18,247.82,260.84,233.44,260.43,77557200,"-404,157,296"
08-Feb-18,207.78,253.12,207.78,247.22,81312200,"-1,033,747,296"
07-Feb-18,210.73,231.25,191.86,207.28,64730900,"-988,187,296"
06-Feb-18,180.87,213.46,149.41,212.29,100344000,"-1,457,537,296"
05-Feb-18,219.04,221.74,167.14,179.49,77454500,"-859,517,296"
04-Feb-18,251.97,257.39,214.79,221.05,48981700,"-343,937,296"
03-Feb-18,236.51,256.98,215.6,251.59,55887100,"-587,357,296"
02-Feb-18,240.84,249.27,184.94,235.63,122696000,"-520,267,296"
01-Feb-18,273.88,279.78,228.39,240.97,73082700,"-3,627,296"
31-Jan-18,274.9,284.02,265.28,272.89,67649500,"11,322,704"
30-Jan-18,317.36,318.01,268.68,274.02,93182600,"675,222,704"
29-Jan-18,331.77,336.69,314.05,316.63,55323000,"899,702,704"
28-Jan-18,322.96,337.16,322.96,332.17,75700900,"760,372,704"
27-Jan-18,325.31,332.83,310.44,321.36,66614100,"795,912,704"
26-Jan-18,316.6,328.78,292.48,323.69,91052800,"658,292,704"
25-Jan-18,322.17,328,306.59,317.1,76537300,"744,402,704"
24-Jan-18,308.93,323.19,299.46,317.4,92263600,"535,982,704"
23-Jan-18,315.31,321.69,285.61,308.46,116898000,"634,512,704"
22-Jan-18,348.91,356.04,288.79,315.9,116893000,"1,158,582,704"
21-Jan-18,384.53,389.11,336.01,345.08,126395000,"1,713,752,704"
20-Jan-18,367.63,403.49,358.77,383.79,240595000,"1,448,482,704"
19-Jan-18,314.13,367.96,309.54,364.62,199852000,"611,372,704"
18-Jan-18,320.6,347.11,303.35,316.47,152851000,"711,022,704"
17-Jan-18,318.93,332.12,240.36,319.19,192937000,"683,882,704"
16-Jan-18,415.93,418.99,261.2,320.04,283036000,"-2,098,484,592"
15-Jan-18,396.02,444.34,392.37,414.57,264782000,"1,884,142,704"
14-Jan-18,420.34,444.01,384.31,399.52,180678000,"-2,033,004,592"
13-Jan-18,393.04,433.35,393.04,420.05,248705000,"1,834,572,704"
12-Jan-18,358.62,394.78,347.32,394.78,158189000,"1,296,352,704"
11-Jan-18,406.08,415.9,346.69,355.59,187722000,"2,034,822,704"
10-Jan-18,413.25,419.06,370.52,407.74,265152000,"2,144,852,704"
09-Jan-18,403.71,447.61,398.53,413.33,522438000,"1,994,442,704"
08-Jan-18,458.35,469.7,357.54,405.07,220924000,"-1,450,924,592"
07-Jan-18,456.15,495.84,453.39,459.33,262443000,"-1,486,934,592"
06-Jan-18,385.37,452.77,380.21,452.77,235391000,"1,704,292,704"
05-Jan-18,402.38,407.04,373.89,384.94,182618000,"1,967,582,704"
04-Jan-18,414.41,419.72,383.54,403.05,166108000,"-2,141,824,592"
03-Jan-18,382.74,418.26,378.86,412.06,180190000,"1,658,952,704"
02-Jan-18,359.06,387.79,359.06,383.42,224769000,"1,287,242,704"
01-Jan-18,349.55,363.79,336.98,358.99,110244000,"1,139,372,704"
31-Dec-17,329,356.77,327.41,349.03,101667000,"818,942,704"
30-Dec-17,378.52,378.52,319.61,330.8,140463000,"1,587,212,704"
29-Dec-17,381.3,387.56,358.07,377.37,173825000,"1,626,372,704"
28-Dec-17,422.51,422.51,359.49,378.9,162717000,"-2,028,724,592"
27-Dec-17,381.3,442.6,381.3,421.85,250742000,"1,625,742,704"
26-Dec-17,361.08,384.77,357.27,381.54,161342000,"1,310,342,704"
25-Dec-17,339.69,365.87,323.2,360.78,119632000,"976,852,704"
24-Dec-17,391.01,391.01,297.09,337.06,134675000,"1,767,842,704"
23-Dec-17,349.76,417.65,344.38,382.04,190117000,"1,128,192,704"
22-Dec-17,419.53,423.42,255.67,346.11,334617000,"-2,085,014,592"
21-Dec-17,470.29,470.29,390.55,417.98,354021000,"-1,298,904,592"
20-Dec-17,375.71,476.4,329.95,469.2,498648000,"1,528,332,704"
19-Dec-17,381.07,406.03,346.94,377.24,317292000,"1,609,722,704"
18-Dec-17,353.07,381.51,332.09,381.51,217306000,"1,174,442,704"
17-Dec-17,328.06,365.24,327.27,351.37,278705000,"783,952,704"
16-Dec-17,312.61,331.54,311.71,327.32,164861000,"544,792,704"
15-Dec-17,325.61,326.08,296.08,312.32,163054000,"744,902,704"
14-Dec-17,303.26,335.53,301.4,325.21,261053000,"397,842,704"
13-Dec-17,307.43,330.35,284.74,305.75,248583000,"454,612,704"
12-Dec-17,281.49,319.9,281.19,308.07,271786000,"53,852,704"
11-Dec-17,244.95,281.03,244.14,279.67,152497000,"-510,657,296"
10-Dec-17,262.9,262.9,220.77,245.33,142120000,"-233,377,296"
09-Dec-17,277.27,281.4,250.39,262.53,161152000,"-11,417,296"
08-Dec-17,281.31,284.86,250.65,276.74,201497000,"51,032,704"
07-Dec-17,277.87,300.32,263.17,280.86,299528000,"-3,117,296"
06-Dec-17,268.16,316.67,260.61,278.69,543884000,"-154,197,296"
05-Dec-17,211.13,272.64,208.89,269.48,352326000,"-1,036,607,296"
04-Dec-17,199.56,210.24,192.04,210.24,74534400,"-1,215,117,296"
03-Dec-17,203.37,209.09,191.25,200.05,111303000,"-1,157,287,296"
02-Dec-17,190.83,205.26,186.68,203.03,80791100,"-1,351,447,296"
01-Dec-17,179.72,191.85,169.76,190.94,70430500,"-1,523,587,296"
30-Nov-17,170.49,195.39,156.53,180.14,128112000,"-1,667,477,296"
