Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,0.529133,0.529133,0.481098,0.484397,66039700,"467,222,704"
19-Feb-18,0.528994,0.537727,0.518834,0.529261,91007400,"465,982,704"
18-Feb-18,0.595298,0.595298,0.527599,0.530407,95781300,"1,062,712,704"
17-Feb-18,0.565686,0.602952,0.560204,0.59888,147788000,"796,202,704"
16-Feb-18,0.560086,0.598202,0.548458,0.568887,90028500,"745,812,704"
15-Feb-18,0.569045,0.588881,0.544115,0.561359,67295600,"826,432,704"
14-Feb-18,0.53192,0.570553,0.528626,0.570005,73477500,"492,312,704"
13-Feb-18,0.560197,0.567745,0.52682,0.533186,36379100,"746,802,704"
12-Feb-18,0.532219,0.561441,0.530871,0.557894,22479700,"495,012,704"
11-Feb-18,0.589823,0.589823,0.514947,0.52864,28515100,"1,013,442,704"
10-Feb-18,0.598384,0.64492,0.55753,0.590511,74166200,"1,090,492,704"
09-Feb-18,0.544268,0.590486,0.517372,0.590486,60340000,"603,442,704"
08-Feb-18,0.536245,0.594279,0.525279,0.543094,42640900,"531,232,704"
07-Feb-18,0.582114,0.617025,0.52197,0.536718,59231300,"944,052,704"
06-Feb-18,0.455961,0.5842,0.397361,0.5842,50311400,"-191,317,296"
05-Feb-18,0.54898,0.559763,0.44034,0.449672,28590400,"645,852,704"
04-Feb-18,0.627271,0.664819,0.536007,0.55087,41394700,"1,350,472,704"
03-Feb-18,0.584534,0.652762,0.512837,0.628795,42520900,"965,832,704"
02-Feb-18,0.613639,0.621158,0.440361,0.582652,54511900,"1,227,782,704"
01-Feb-18,0.791554,0.804491,0.614392,0.618265,46639300,"-1,465,954,592"
31-Jan-18,0.785675,0.787938,0.737936,0.779857,50105100,"-1,518,854,592"
30-Jan-18,0.935732,0.935732,0.776117,0.776491,47194000,"-168,344,592"
29-Jan-18,1.03,1.03,0.923629,0.935431,47381700,"663,495,408"
28-Jan-18,1.06,1.06,1.01,1.03,83612400,"916,695,408"
27-Jan-18,0.843234,1.11,0.817192,1.06,237529000,"-1,000,824,592"
26-Jan-18,0.944931,1.02,0.765609,0.839974,174749000,"-85,554,592"
25-Jan-18,0.973386,1,0.924831,0.9491,57845600,"170,545,408"
24-Jan-18,0.947215,0.994965,0.907137,0.96375,57975100,"-64,994,592"
23-Jan-18,0.987091,1.01,0.877437,0.942383,67245800,"293,885,408"
22-Jan-18,1.08,1.1,0.899927,0.991465,73947400,"1,110,975,408"
21-Jan-18,1.22,1.22,1.02,1.07,112542000,"-1,865,601,888"
20-Jan-18,1.1,1.21,1.1,1.21,129900000,"1,311,785,408"
19-Jan-18,1.07,1.15,1,1.1,130817000,"1,055,285,408"
18-Jan-18,1.03,1.17,0.957233,1.08,119459000,"644,405,408"
17-Jan-18,0.976473,1.09,0.692197,1.02,166003000,"198,325,408"
16-Jan-18,1.38,1.38,0.712555,1.03,198199000,"-424,601,888"
15-Jan-18,1.39,1.51,1.38,1.39,105495000,"-396,601,888"
14-Jan-18,1.51,1.51,1.34,1.39,38628400,"705,398,112"
13-Jan-18,1.46,1.57,1.45,1.51,60099500,"242,398,112"
12-Jan-18,1.31,1.45,1.26,1.44,65119100,"-1,060,401,888"
11-Jan-18,1.45,1.54,1.22,1.31,93279400,"158,598,112"
