Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,24.47,29.84,23.59,23.84,1697590,"31,586,100"
19-Feb-18,20.37,27.24,20.28,24.42,1940870,"26,292,900"
18-Feb-18,22.69,23.78,20.43,20.43,145246,"29,298,400"
17-Feb-18,21.24,23.32,20.99,23.25,212041,"27,463,300"
16-Feb-18,22.06,22.68,20.55,21.25,106464,"28,525,200"
15-Feb-18,22.04,23.17,21.13,22.16,186324,"28,493,800"
14-Feb-18,20.37,22.31,19.81,22.1,382246,"26,338,300"
13-Feb-18,21.73,22.22,20.18,20.18,284117,"28,094,400"
12-Feb-18,18.43,24.17,17.81,21.98,1239570,"23,825,800"
11-Feb-18,19.85,20.74,16.24,18.31,596317,"25,660,900"
10-Feb-18,16.17,21.7,15.41,19.39,1233990,"20,936,000"
09-Feb-18,15.57,16.65,14.43,16.16,243876,"20,163,900"
08-Feb-18,15.49,16.81,15.39,15.53,259982,"20,063,700"
07-Feb-18,15.02,18.17,14.15,15.84,256991,"19,444,500"
06-Feb-18,13.37,15.49,11.71,15.15,450845,"17,313,100"
05-Feb-18,15.65,15.95,12.8,13.35,198028,"20,267,000"
04-Feb-18,20.01,20.01,14.92,15.8,195834,"25,913,800"
03-Feb-18,17.98,21,16.89,19.95,541258,"23,299,200"
02-Feb-18,18.96,19.13,13.82,17.77,616822,"24,571,300"
01-Feb-18,21.65,23.33,17.69,19.01,462444,"28,049,100"
31-Jan-18,22.45,22.86,21.17,21.6,331054,"29,089,000"
30-Jan-18,26.89,29.73,21.97,22.64,1308300,"34,838,200"
29-Jan-18,29.62,29.72,26.55,26.88,244029,"38,386,000"
28-Jan-18,28.89,30.4,27.57,29.65,653506,"37,431,100"
27-Jan-18,26.56,32.78,25.18,28.68,2537640,"34,417,900"
26-Jan-18,27.79,28.39,25.32,26.59,225736,"36,013,400"
25-Jan-18,28.87,29.91,25.87,27.87,390559,"37,406,300"
24-Jan-18,27.11,30.32,26.12,28.27,537748,"35,126,400"
23-Jan-18,27.43,28.75,24.66,27.12,341714,"35,551,000"
22-Jan-18,27.34,30.37,25.5,27.4,729378,"35,425,300"
21-Jan-18,34.62,38.42,26.66,27.54,2894980,"44,860,700"
20-Jan-18,33.88,36.08,32.67,34.45,849290,"43,914,600"
19-Jan-18,32.79,35.52,29.57,33.52,1317430,"42,495,100"
18-Jan-18,28.88,35.51,25.6,32.91,1528400,"37,435,400"
17-Jan-18,28.75,30.11,20.94,28.58,751546,"37,264,000"
16-Jan-18,39.08,39.08,22.02,28.97,1565370,"50,652,900"
15-Jan-18,45.46,52.25,39.06,39.06,3260030,"58,921,900"
14-Jan-18,53.12,53.12,43.16,46.15,1069050,"68,852,000"
13-Jan-18,42.46,53.19,41.71,52.16,1651270,"55,032,100"
12-Jan-18,42.14,45.89,39.06,44.02,1037880,"54,626,300"
11-Jan-18,48.55,49.64,37.92,41.8,1909610,"62,930,100"
10-Jan-18,47.04,56.37,43.35,49,6762780,"60,977,000"
09-Jan-18,47.51,49.85,43.21,45.17,2434220,"61,581,600"
08-Jan-18,40.86,59.53,38.48,48.65,13689600,"52,961,300"
07-Jan-18,32.33,41.86,31.5,41.86,3964570,"41,899,500"
06-Jan-18,31.69,33.53,29.52,32.35,1994520,"41,084,800"
05-Jan-18,36.08,37.62,30.56,31.55,2973030,"46,783,100"
04-Jan-18,38.19,38.82,35.32,37.48,1969820,"49,512,100"
03-Jan-18,37.72,39.74,34.33,37.99,1963410,"48,902,300"
02-Jan-18,40.96,44.06,34.64,37.62,4444740,"53,113,700"
01-Jan-18,33.81,42.49,31.47,39.87,3185660,"43,841,700"
31-Dec-17,27.98,35.06,26.98,32.97,1772510,"36,283,600"
30-Dec-17,33.08,33.08,25.42,28.77,980391,"42,897,600"
29-Dec-17,36.74,36.99,31.45,33.16,2701510,"47,638,900"
28-Dec-17,34.34,36.17,28.62,34.2,2654990,"44,524,700"
27-Dec-17,32.13,39.17,31.58,34.53,4108750,"41,663,800"
26-Dec-17,34.28,36.04,28.5,32.02,3065750,"44,451,500"
25-Dec-17,27.77,41.01,27.77,34.46,11398800,"36,009,700"
24-Dec-17,25.59,28.42,22.61,27.53,1676120,"33,177,300"
23-Dec-17,23.31,28.68,21.96,26.01,1496370,"30,223,600"
22-Dec-17,30.02,30.82,17.18,23.06,1415950,"38,927,400"
21-Dec-17,27.35,36.12,26.6,29.76,4075520,"35,462,600"
20-Dec-17,27.47,29,23,27.22,1732090,"35,621,800"
19-Dec-17,28.94,33.23,25.92,27.53,3686380,"37,522,100"
18-Dec-17,26.19,31.58,25.3,28.88,2334750,"33,959,900"
17-Dec-17,23.97,27.38,23.78,26.06,1560870,"31,079,100"
16-Dec-17,23.79,25.1,22.52,23.96,659992,"30,852,500"
15-Dec-17,22.78,24.07,20.94,23.26,792173,"29,541,800"
14-Dec-17,23.21,25.11,21.88,22.72,1160180,"30,100,200"
13-Dec-17,23.79,24.14,21.63,23.06,767783,"30,847,100"
12-Dec-17,23.06,24.54,21.5,23.77,875810,"29,904,200"
11-Dec-17,22.38,25.3,21.94,23.09,446697,"29,020,900"
10-Dec-17,22.84,24.12,20.85,22.53,566956,"29,620,600"
