Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,17.72,20.2,17.71,18.4,109202000,"1,808,000,000"
19-Feb-18,16.49,18.37,16.32,17.69,54814700,"1,682,870,000"
18-Feb-18,18.32,18.41,16.35,16.66,42287800,"1,869,770,000"
17-Feb-18,18.17,18.64,17.69,18.29,59295600,"1,853,770,000"
16-Feb-18,16.67,18.23,16.03,18.17,81337500,"1,701,370,000"
15-Feb-18,15.63,16.71,14.99,16.67,54142700,"1,594,790,000"
14-Feb-18,12.97,15.72,12.97,15.66,91650800,"1,323,570,000"
13-Feb-18,12.88,13.06,12.31,12.99,23326000,"1,314,360,000"
12-Feb-18,11.95,13,11.93,12.84,24588600,"1,219,240,000"
11-Feb-18,12.54,12.67,11.06,11.86,29981600,"1,279,750,000"
10-Feb-18,13.2,13.88,11.93,12.51,43385500,"1,346,830,000"
09-Feb-18,12.21,13.21,11.56,13.2,41973800,"1,246,080,000"
08-Feb-18,10.88,12.26,10.88,11.89,31563700,"1,110,480,000"
07-Feb-18,11.32,12.55,10.17,10.9,36639600,"1,155,150,000"
06-Feb-18,9.31,11.39,7.39,11.37,56968000,"949,742,000"
05-Feb-18,11.92,12.68,8.75,9.27,45236500,"1,216,630,000"
04-Feb-18,14.09,14.16,11.72,12.06,36225800,"1,437,590,000"
03-Feb-18,13.35,14.3,12.2,14.05,31593400,"1,362,480,000"
02-Feb-18,13.97,13.97,10.54,13.25,62454300,"1,425,460,000"
01-Feb-18,15.85,15.95,13.25,13.99,60157800,"1,617,380,000"
31-Jan-18,14.9,15.85,14.16,15.74,71504300,"1,520,480,000"
30-Jan-18,16.89,17.86,14.67,14.92,96893300,"1,723,530,000"
29-Jan-18,17.15,17.35,16.04,16.91,46635600,"1,750,090,000"
28-Jan-18,16.06,17.29,15.77,17.09,83798900,"1,638,530,000"
27-Jan-18,16.6,16.77,15.79,15.98,99130000,"1,693,910,000"
26-Jan-18,17.93,18.58,14.93,16.58,145709000,"1,829,140,000"
25-Jan-18,18.05,19.12,16.67,17.96,79337500,"1,841,760,000"
24-Jan-18,16.05,18.5,15.48,17.85,72241700,"1,637,570,000"
23-Jan-18,15.66,16.62,14.3,16.05,58931400,"1,597,700,000"
22-Jan-18,17.14,17.96,14.22,15.66,70101200,"1,748,670,000"
21-Jan-18,19.74,19.74,16.41,16.97,55861100,"2,013,840,000"
20-Jan-18,18.63,19.95,18.63,19.71,89103800,"1,901,100,000"
19-Jan-18,17.62,18.94,17.08,18.43,72477800,"1,798,360,000"
18-Jan-18,18.23,19.45,17.16,17.73,87971600,"1,860,280,000"
17-Jan-18,17.3,18.91,12.41,18.06,114904000,"1,765,470,000"
16-Jan-18,22.5,22.5,13.91,17.38,132224000,"-1,998,527,296"
15-Jan-18,23.7,24.62,22.46,22.46,91802400,"-1,876,777,296"
14-Jan-18,25.72,25.81,22.24,23.83,74017300,"-1,670,347,296"
13-Jan-18,22.83,26.07,22.66,25.72,120921000,"-1,965,397,296"
12-Jan-18,21.7,23.18,20.85,22.84,83835500,"-2,080,877,296"
11-Jan-18,23.46,23.82,19.34,21.66,122602000,"-1,901,487,296"
10-Jan-18,25.4,25.4,21.9,23.35,137934000,"-1,703,217,296"
09-Jan-18,23.84,26.11,22.92,25.29,191509000,"-1,862,117,296"
08-Jan-18,24.39,28.35,20.69,23.89,382895000,"-1,805,677,296"
07-Jan-18,19.31,24.41,19.28,24.41,250609000,"1,970,170,000"
06-Jan-18,18.7,19.76,18.12,19.31,99421600,"1,908,510,000"
05-Jan-18,19.81,20.4,18.12,18.69,138393000,"2,021,050,000"
04-Jan-18,20.6,21.94,19.63,19.93,150260000,"2,101,860,000"
