Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,32.72,33.41,31.02,31.11,203359000,"-1,877,287,296"
19-Feb-18,31.41,32.93,31.19,32.66,197224000,"-1,973,907,296"
18-Feb-18,33.47,33.68,29.97,31.24,181070000,"-1,821,957,296"
17-Feb-18,33.17,33.69,32.67,33.56,178525000,"-1,844,027,296"
16-Feb-18,33.03,33.95,31.99,33.02,166522000,"-1,854,587,296"
15-Feb-18,32.42,33.53,31.91,33.06,222910000,"-1,900,027,296"
14-Feb-18,30.04,32.62,29.99,32.55,334300000,"-2,075,727,296"
13-Feb-18,30.21,30.46,28.55,30.11,242714000,"-2,063,397,296"
12-Feb-18,27.58,30.81,27.58,30.13,212954000,"2,037,250,000"
11-Feb-18,30.21,30.21,26.26,27.48,258212000,"-2,063,057,296"
10-Feb-18,30.83,34.59,29.09,30.27,421275000,"-2,017,507,296"
09-Feb-18,27.79,31.59,25.98,31.16,618154000,"2,052,790,000"
08-Feb-18,21.95,27.38,21.95,26.48,276759000,"1,621,640,000"
07-Feb-18,24.09,24.53,20.99,21.78,238850000,"1,779,020,000"
06-Feb-18,20.93,24.32,16.67,24.05,386634000,"1,545,600,000"
05-Feb-18,26.24,26.76,19.64,20.54,200730000,"1,937,850,000"
04-Feb-18,29.72,30.68,25.38,26.19,219327000,"-2,099,887,296"
03-Feb-18,30.39,31.62,25.77,29.93,305047000,"-2,050,497,296"
02-Feb-18,35.56,35.56,22.31,30.26,566508000,"-1,668,907,296"
01-Feb-18,42.1,42.1,34.71,35.68,371498000,"-1,186,167,296"
31-Jan-18,37.3,42.38,34.62,42.12,437472000,"-1,540,717,296"
30-Jan-18,43.6,43.64,36.71,37.33,275840000,"-1,075,617,296"
29-Jan-18,43.84,45.51,42.33,43.41,412998000,"-1,058,027,296"
28-Jan-18,39.74,44.08,39.74,43.76,346952000,"-1,360,527,296"
27-Jan-18,39.77,40.48,38.15,39.58,228016000,"-1,358,327,296"
26-Jan-18,40.41,41.73,35.83,39.7,378512000,"-1,311,487,296"
25-Jan-18,40.93,41.98,39.68,40.72,330419000,"-1,273,137,296"
24-Jan-18,39.05,42.4,38.25,40.51,412605000,"-1,411,857,296"
23-Jan-18,40.03,41.09,35.62,39.15,455691000,"-1,339,327,296"
22-Jan-18,43.19,43.95,36.59,39.97,665031000,"-1,106,367,296"
21-Jan-18,51.71,51.79,40.91,42.82,1472770000,"-477,527,296"
20-Jan-18,39.22,51.26,39.11,51.26,1389340000,"-1,399,917,296"
19-Jan-18,36.97,41.46,36.19,39.19,594885000,"-1,566,277,296"
18-Jan-18,36.05,39.91,34.23,37.37,731389000,"-1,633,927,296"
17-Jan-18,35.54,37.99,27.63,36.47,1005590000,"-1,671,407,296"
16-Jan-18,52.23,52.23,28.97,36.03,976913000,"-439,537,296"
15-Jan-18,54.07,58.28,52.18,52.58,1558480000,"-304,087,296"
14-Jan-18,54.83,55.07,48.35,54.08,758722000,"-248,287,296"
13-Jan-18,50.45,56.27,50.37,54.7,881216000,"-571,297,296"
12-Jan-18,46.01,51.92,44.42,50.41,764812000,"-899,157,296"
11-Jan-18,53.65,53.83,43.68,45.75,732454000,"-335,657,296"
10-Jan-18,53.42,56.36,49.9,54.08,853001000,"-352,657,296"
09-Jan-18,55.78,58.38,52.09,53.21,837431000,"-178,407,296"
08-Jan-18,86.17,89.11,49.96,55.98,1023570000,"2,063,262,704"
07-Jan-18,94.06,106.88,83.57,85.77,1707140000,"-1,649,004,592"
06-Jan-18,62.95,105.41,59.95,94.67,1998570000,"349,792,704"
05-Jan-18,57.39,70.89,54.79,62.7,1356740000,"-60,227,296"
04-Jan-18,59.06,61.48,55.95,57.47,744457000,"62,892,704"
03-Jan-18,60.54,61.01,57.29,59.09,673650000,"171,422,704"
02-Jan-18,61.19,62.46,59.75,60.72,597468000,"219,752,704"
01-Jan-18,62.31,64.08,59.87,60.88,708818000,"302,242,704"
31-Dec-17,60.2,65.01,59.2,62.4,690938000,"146,162,704"
30-Dec-17,58.68,67.69,54.36,60.49,1203780000,"34,092,704"
29-Dec-17,56.35,60.47,53.33,58.71,876085000,"-138,407,296"
28-Dec-17,54.44,56.64,46.41,56.23,838698000,"-279,437,296"
27-Dec-17,55.76,56.39,52.72,54.11,539542000,"-181,687,296"
26-Dec-17,58.22,59.99,55.42,55.95,652554000,"-787,296"
25-Dec-17,54,59.79,51.23,58.09,976115000,"-312,067,296"
24-Dec-17,56.71,57.37,49,53.64,692470000,"-112,237,296"
23-Dec-17,50.84,60.2,50.71,57.26,913925000,"-545,257,296"
22-Dec-17,63.27,63.27,36.35,49.48,1101630000,"370,902,704"
21-Dec-17,63.82,69.24,56.87,62.23,905593000,"411,692,704"
20-Dec-17,67.72,69.07,57.71,63.64,1025680000,"699,382,704"
19-Dec-17,51.96,77.75,51.3,67.75,2134470000,"-463,087,296"
18-Dec-17,29.66,56.06,27.84,51.85,-1867097296,"-2,107,637,296"
17-Dec-17,29.19,30.3,28.63,29.62,399361000,"-2,142,877,296"
16-Dec-17,30.15,31.53,28.48,29,609254000,"-2,072,067,296"
15-Dec-17,20.68,32.65,17.69,30.54,1227400000,"1,524,900,000"
14-Dec-17,17.16,20.63,17.02,20.48,389613000,"1,264,910,000"
13-Dec-17,14.81,19.29,14.8,17.31,541413000,"1,091,760,000"
12-Dec-17,13.57,15.12,13.28,14.76,253559000,"1,000,140,000"
11-Dec-17,11.02,14.6,11,13.55,218917000,"812,116,000"
10-Dec-17,12.09,12.09,10.74,11.05,106888000,"891,217,000"
09-Dec-17,12.77,12.77,11.54,12.08,124125000,"941,021,000"
08-Dec-17,12.53,13.06,11.99,12.79,153972000,"923,477,000"
07-Dec-17,11.95,14.93,11.67,12.56,262721000,"880,877,000"
06-Dec-17,13.12,13.14,11.86,11.96,136931000,"967,196,000"
05-Dec-17,13.69,13.95,13.08,13.08,106446000,"1,009,240,000"
04-Dec-17,13.15,14,12.68,13.62,139016000,"968,910,000"
03-Dec-17,13.03,13.68,12.49,13.15,101683000,"959,947,000"
02-Dec-17,13.15,13.45,12.55,13,106410000,"969,375,000"
01-Dec-17,12.87,13.28,12.13,13.16,77540700,"948,229,000"
30-Nov-17,12.49,13.53,11.44,12.95,116134000,"920,799,000"
29-Nov-17,15.44,15.44,12.27,12.45,169681000,"1,137,980,000"
28-Nov-17,14.76,15.9,14.6,15.49,248416000,"1,087,670,000"
27-Nov-17,14.69,14.95,14.22,14.79,141497000,"1,082,680,000"
26-Nov-17,14.51,15.01,14.23,14.79,115807000,"1,068,960,000"
25-Nov-17,14.37,14.82,14.09,14.49,143624000,"1,059,050,000"
24-Nov-17,13.95,14.43,13.54,14.43,153144000,"1,027,570,000"
23-Nov-17,14.22,14.22,13.81,13.95,116380000,"1,047,380,000"
22-Nov-17,14.05,14.26,13.85,14.2,91778300,"1,035,430,000"
