Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,1.14,1.17,1.08,1.09,806673000,"1,698,427,040"
19-Feb-18,1.12,1.17,1.12,1.14,556304000,"863,627,040"
18-Feb-18,1.2,1.21,1.09,1.12,1113650000,"-247,140,256"
17-Feb-18,1.14,1.22,1.13,1.2,1186730000,"1,420,527,040"
16-Feb-18,1.14,1.15,1.11,1.14,568339000,"1,713,627,040"
15-Feb-18,1.14,1.16,1.11,1.15,1188530000,"1,483,927,040"
14-Feb-18,1.03,1.17,1.02,1.14,1457600000,"1,371,794,336"
13-Feb-18,1.08,1.08,1.01,1.03,921100000,"-829,872,960"
12-Feb-18,1.01,1.11,1.01,1.08,1756290000,"607,994,336"
11-Feb-18,1.07,1.08,0.929767,1,-1739657296,"-1,314,172,960"
10-Feb-18,0.947251,1.3,0.947251,1.07,387042704,"-1,703,205,664"
09-Feb-18,0.79714,0.954428,0.77154,0.954428,1690340000,"1,031,028,928"
08-Feb-18,0.729252,0.80697,0.722611,0.805263,947315000,"-1,617,271,072"
07-Feb-18,0.774576,0.805478,0.70695,0.723895,1133370000,"150,828,928"
06-Feb-18,0.705121,0.786004,0.58836,0.776393,-1933827296,"1,736,396,224"
05-Feb-18,0.825943,0.833866,0.675827,0.691799,1286180000,"-2,140,338,368"
04-Feb-18,0.913418,0.952947,0.796821,0.815703,1190960000,"1,271,961,632"
03-Feb-18,0.891992,0.974799,0.761635,0.924043,1988960000,"436,161,632"
02-Feb-18,0.960642,0.960642,0.635185,0.884784,-765207296,"-1,180,805,664"
01-Feb-18,1.16,1.16,0.930378,0.96253,1410420000,"2,021,827,040"
31-Jan-18,1.13,1.19,1.04,1.16,1264030000,"851,127,040"
30-Jan-18,1.33,1.33,1.13,1.14,1134640000,"-87,207,552"
29-Jan-18,1.4,1.41,1.3,1.32,1073680000,"-1,630,274,848"
28-Jan-18,1.22,1.44,1.22,1.4,1327360000,"167,859,744"
27-Jan-18,1.22,1.24,1.19,1.22,689101000,"-64,440,256"
26-Jan-18,1.31,1.33,1.14,1.22,2037570000,"-833,207,552"
25-Jan-18,1.36,1.38,1.29,1.31,986068000,"1,271,492,448"
24-Jan-18,1.35,1.42,1.31,1.36,1853440000,"840,492,448"
23-Jan-18,1.35,1.43,1.2,1.34,-1317887296,"881,692,448"
22-Jan-18,1.39,1.43,1.16,1.36,-1652457296,"-1,924,774,848"
21-Jan-18,1.58,1.58,1.34,1.38,-1454217296,"932,357,856"
20-Jan-18,1.56,1.63,1.5,1.58,-1948517296,"413,457,856"
19-Jan-18,1.58,1.7,1.5,1.55,-597537296,"1,162,357,856"
18-Jan-18,1.31,1.73,1.26,1.6,520505408,"-962,507,552"
17-Jan-18,1.18,1.38,0.897797,1.31,-1338724592,"-1,389,940,256"
16-Jan-18,1.68,1.7,0.909313,1.18,1392992704,"593,890,560"
15-Jan-18,1.86,1.9,1.67,1.68,1838460000,"-1,105,044,032"
14-Jan-18,2.02,2.02,1.81,1.86,1978200000,"886,388,672"
13-Jan-18,2.05,2.12,1.98,2.02,2130170000,"-2,134,678,624"
12-Jan-18,1.94,2.16,1.87,2.04,-964157296,"-2,136,911,328"
11-Jan-18,1.98,2.25,1.62,1.95,2001152704,"-597,611,328"
10-Jan-18,2.13,2.16,1.7,1.97,538672704,"906,621,376"
09-Jan-18,2.44,2.53,1.98,2.1,-600267296,"168,219,488"
08-Jan-18,3.36,3.36,2.07,2.46,-979707296,"1,452,981,120"
07-Jan-18,3.09,3.49,3.08,3.38,-1899817296,"-440,084,288"
06-Jan-18,3.02,3.24,2.99,3.09,-1517407296,"1,068,883,008"
05-Jan-18,3.3,3.56,2.83,3.05,1993532704,"-979,018,880"
04-Jan-18,3.12,3.84,3.12,3.2,-486274592,"503,915,712"
03-Jan-18,2.46,3.28,2.44,3.11,-1954054592,"967,919,488"
02-Jan-18,2.37,2.49,2.25,2.48,-1123957296,"1,597,486,784"
01-Jan-18,2.3,2.39,2.15,2.39,1894230000,"-1,248,413,216"
31-Dec-17,2.1,2.39,1.87,2.3,347112704,"-441,778,624"
30-Dec-17,2.2,2.85,2.04,2.16,-481544592,"-711,945,920"
29-Dec-17,1.44,2.27,1.44,2.21,-1044194592,"-67,074,848"
28-Dec-17,1.39,1.5,1.26,1.43,-1451667296,"-1,836,374,848"
27-Dec-17,1.18,1.47,1.18,1.4,-1440707296,"-1,368,940,256"
26-Dec-17,1.12,1.19,1.09,1.19,938847000,"505,727,040"
25-Dec-17,1.05,1.13,1,1.12,686014000,"1,851,294,336"
24-Dec-17,1.18,1.18,0.911226,1.04,754959000,"-1,703,540,256"
23-Dec-17,1.17,1.21,1.08,1.17,1497590000,"-2,077,040,256"
22-Dec-17,1.17,1.38,0.741013,1.14,349732704,"-2,055,140,256"
21-Dec-17,0.782515,1.24,0.782515,1.19,-668857296,"249,228,928"
20-Dec-17,0.787171,0.789044,0.730953,0.775964,1007420000,"429,528,928"
19-Dec-17,0.777447,0.863536,0.756724,0.791257,1449670000,"52,828,928"
18-Dec-17,0.728036,0.792014,0.689323,0.778407,1342720000,"-1,861,271,072"
17-Dec-17,0.754125,0.765981,0.719929,0.728366,805200000,"-850,571,072"
16-Dec-17,0.755493,0.815923,0.741667,0.758642,1334770000,"-797,671,072"
15-Dec-17,0.86176,0.86176,0.666114,0.756181,-1100757296,"-975,838,368"
14-Dec-17,0.470648,0.892267,0.466401,0.864263,2063732704,"1,052,630,816"
13-Dec-17,0.372689,0.513768,0.342964,0.471063,-1556207296,"1,552,698,112"
12-Dec-17,0.252258,0.434102,0.250961,0.373541,1555040000,"1,182,305,408"
11-Dec-17,0.236574,0.252777,0.235804,0.251691,176101000,"574,735,408"
10-Dec-17,0.245548,0.245548,0.229304,0.237333,198174000,"922,395,408"
09-Dec-17,0.252162,0.255684,0.240073,0.244708,205289000,"1,178,605,408"
08-Dec-17,0.223636,0.278673,0.222168,0.252125,660172000,"73,525,408"
07-Dec-17,0.232623,0.23376,0.22134,0.222823,275205000,"421,695,408"
06-Dec-17,0.245416,0.245705,0.227742,0.232544,274526000,"917,255,408"
05-Dec-17,0.253598,0.253988,0.245234,0.246101,174591000,"1,226,055,408"
04-Dec-17,0.252919,0.255362,0.24716,0.253571,104650000,"1,178,545,408"
03-Dec-17,0.25553,0.263072,0.247391,0.252558,134710000,"1,279,375,408"
02-Dec-17,0.255656,0.259218,0.250756,0.255492,118250000,"1,284,255,408"
01-Dec-17,0.250352,0.258828,0.239438,0.255699,182992000,"1,079,355,408"
30-Nov-17,0.246433,0.261524,0.229586,0.250878,270907000,"928,005,408"
29-Nov-17,0.297867,0.297867,0.239409,0.243064,541178000,"-1,380,401,888"
28-Nov-17,0.254037,0.301084,0.253415,0.299152,720743000,"1,221,715,408"
27-Nov-17,0.248305,0.254733,0.247861,0.253927,196735000,"1,000,305,408"
26-Nov-17,0.252914,0.252914,0.248589,0.248818,133297000,"1,178,335,408"
25-Nov-17,0.244178,0.2557,0.243584,0.252393,212593000,"840,915,408"
24-Nov-17,0.242851,0.245388,0.238421,0.244642,211486000,"789,665,408"
23-Nov-17,0.238991,0.250096,0.237304,0.242402,240685000,"640,585,408"
22-Nov-17,0.232642,0.240848,0.232317,0.238859,167078000,"395,365,408"
21-Nov-17,0.237978,0.240974,0.2272,0.233271,217851000,"601,455,408"
20-Nov-17,0.231336,0.24343,0.230917,0.238759,214663000,"344,915,408"
19-Nov-17,0.22814,0.236231,0.226037,0.231016,193808000,"221,475,408"
18-Nov-17,0.226547,0.230399,0.222399,0.228627,144298000,"159,965,408"
17-Nov-17,0.224768,0.239409,0.220273,0.226581,397071000,"91,255,408"
16-Nov-17,0.212655,0.27179,0.209287,0.227107,1022580000,"-376,574,592"
15-Nov-17,0.208937,0.213105,0.208058,0.212956,100294000,"-520,204,592"
14-Nov-17,0.203679,0.213693,0.203679,0.209825,127361000,"-723,264,592"
13-Nov-17,0.197472,0.204081,0.197456,0.203442,132567000,"-981,044,592"
12-Nov-17,0.210214,0.210214,0.195389,0.197339,251175000,"-490,074,592"
11-Nov-17,0.205948,0.214456,0.205459,0.21043,134503000,"-654,444,592"
10-Nov-17,0.218256,0.219068,0.20526,0.206483,141033000,"-180,194,592"
09-Nov-17,0.217911,0.221791,0.214866,0.217488,147917000,"-193,494,592"
08-Nov-17,0.210675,0.221458,0.20806,0.217437,156959000,"-472,314,592"
07-Nov-17,0.205103,0.211375,0.203978,0.210354,114073000,"-687,014,592"
06-Nov-17,0.201967,0.208662,0.20141,0.20599,102233000,"-807,854,592"
05-Nov-17,0.203274,0.205124,0.201117,0.202055,46959000,"-757,484,592"
04-Nov-17,0.208083,0.208479,0.202133,0.20375,74013200,"-572,164,592"
03-Nov-17,0.206205,0.228026,0.201728,0.208133,373402000,"-644,524,592"
02-Nov-17,0.194596,0.211848,0.183815,0.205861,197770000,"-1,091,844,592"
01-Nov-17,0.200247,0.201501,0.193613,0.194124,67921000,"-874,094,592"
31-Oct-17,0.202405,0.203778,0.200461,0.200558,43875700,"-790,944,592"
30-Oct-17,0.203076,0.204135,0.201946,0.202711,34835100,"-765,114,592"
29-Oct-17,0.201358,0.205209,0.200075,0.202785,62511100,"-831,294,592"
28-Oct-17,0.202592,0.203476,0.201401,0.201835,26864900,"-783,734,592"
27-Oct-17,0.203668,0.204492,0.201771,0.202785,29623000,"-742,284,592"
26-Oct-17,0.204444,0.206289,0.20266,0.203628,38193100,"-712,404,592"
25-Oct-17,0.207113,0.208237,0.201803,0.204604,75017500,"-609,564,592"
24-Oct-17,0.195567,0.217508,0.190455,0.206644,220081000,"-1,054,454,592"
23-Oct-17,0.203504,0.203919,0.190729,0.196928,99914800,"-748,604,592"
22-Oct-17,0.210958,0.211901,0.200722,0.204177,75849500,"-461,414,592"
21-Oct-17,0.210189,0.212381,0.200774,0.211016,116807000,"-491,014,592"
20-Oct-17,0.215086,0.223822,0.208754,0.210549,182704000,"-302,334,592"
19-Oct-17,0.218229,0.23179,0.208317,0.21515,304542000,"-181,224,592"
18-Oct-17,0.231216,0.23815,0.207265,0.21852,354225000,"319,165,408"
17-Oct-17,0.256098,0.263147,0.222939,0.232064,411265000,"1,277,925,408"
16-Oct-17,0.263386,0.291359,0.24901,0.256232,963158000,"1,558,765,408"
15-Oct-17,0.257537,0.268419,0.249048,0.263983,280211000,"1,333,375,408"
14-Oct-17,0.26115,0.267721,0.25732,0.25732,211160000,"1,472,565,408"
13-Oct-17,0.248285,0.26425,0.238867,0.260489,398689000,"993,985,408"
12-Oct-17,0.265046,0.267468,0.248414,0.248414,245004000,"1,640,965,408"
11-Oct-17,0.260658,0.267843,0.25908,0.264439,161206000,"1,471,565,408"
10-Oct-17,0.252825,0.26656,0.241193,0.260733,384049000,"1,168,375,408"
09-Oct-17,0.278758,0.278758,0.24043,0.251825,610110000,"-2,125,601,888"
08-Oct-17,0.238312,0.279944,0.237532,0.279944,529838000,"608,245,408"
07-Oct-17,0.233963,0.239336,0.233478,0.23861,77950200,"440,385,408"
06-Oct-17,0.237726,0.242424,0.233533,0.234039,167492000,"525,375,408"
05-Oct-17,0.215583,0.241023,0.215583,0.237016,404299000,"-323,654,592"
04-Oct-17,0.203218,0.217024,0.202647,0.214774,123573000,"-797,764,592"
03-Oct-17,0.203209,0.204808,0.19873,0.203318,48703100,"-798,114,592"
02-Oct-17,0.206077,0.206556,0.199444,0.202676,77412300,"-688,144,592"
01-Oct-17,0.197622,0.207185,0.19617,0.206532,51345500,"-1,012,344,592"
30-Sep-17,0.193824,0.199826,0.193497,0.197529,54729300,"-1,157,964,592"
29-Sep-17,0.196105,0.196203,0.187172,0.193606,72291200,"-1,070,514,592"
28-Sep-17,0.202532,0.203271,0.191344,0.196131,117962000,"-824,074,592"
27-Sep-17,0.185297,0.207687,0.185098,0.203299,249934000,"-1,484,924,592"
26-Sep-17,0.181968,0.191247,0.180085,0.186119,70000700,"-1,612,594,592"
25-Sep-17,0.175519,0.183665,0.174939,0.181487,35622600,"-1,859,854,592"
24-Sep-17,0.178175,0.178939,0.174165,0.175787,20566500,"-1,758,034,592"
23-Sep-17,0.173371,0.178672,0.171527,0.177882,32476700,"-1,942,234,592"
22-Sep-17,0.171567,0.17587,0.169291,0.17351,37244700,"-2,011,404,592"
21-Sep-17,0.180981,0.182109,0.171148,0.171754,43583200,"-1,650,434,592"
20-Sep-17,0.18371,0.186229,0.180333,0.182078,34521600,"-1,545,774,592"
19-Sep-17,0.189819,0.19068,0.181334,0.184041,54046100,"-1,311,544,592"
18-Sep-17,0.178309,0.190019,0.178309,0.189768,88397900,"-1,752,874,592"
17-Sep-17,0.178377,0.181121,0.171017,0.178393,49161100,"-1,750,294,592"
16-Sep-17,0.181925,0.187417,0.172279,0.179082,84495200,"-1,614,244,592"
15-Sep-17,0.165035,0.189184,0.150973,0.181358,289414000,"2,033,122,704"
14-Sep-17,0.200427,0.20201,0.164167,0.164167,152533000,"-904,794,592"
13-Sep-17,0.20963,0.209674,0.196179,0.200778,105471000,"-551,904,592"
12-Sep-17,0.21486,0.220623,0.207608,0.209303,94519500,"-351,384,592"
11-Sep-17,0.212513,0.220057,0.210353,0.214441,138339000,"-441,374,592"
10-Sep-17,0.209606,0.216529,0.197605,0.213031,117091000,"-552,854,592"
09-Sep-17,0.211293,0.211892,0.206395,0.209995,51185500,"-488,134,592"
08-Sep-17,0.223615,0.224308,0.206103,0.211518,151329000,"-15,674,592"
07-Sep-17,0.226382,0.22721,0.219618,0.22364,103080000,"90,425,408"
06-Sep-17,0.214951,0.22686,0.214805,0.226186,163297000,"-347,874,592"
05-Sep-17,0.20511,0.218674,0.190232,0.215189,242636000,"-725,234,592"
04-Sep-17,0.228781,0.228781,0.19596,0.204968,239613000,"182,405,408"
03-Sep-17,0.227229,0.236443,0.218662,0.228811,186526000,"122,905,408"
02-Sep-17,0.249348,0.24968,0.217774,0.226669,329928000,"971,005,408"
01-Sep-17,0.255803,0.256162,0.243833,0.248479,283576000,"1,218,525,408"
31-Aug-17,0.227558,0.261038,0.225907,0.25563,432574000,"135,515,408"
30-Aug-17,0.218871,0.229805,0.217476,0.228006,181186000,"-197,594,592"
29-Aug-17,0.224026,0.225926,0.214867,0.218564,269770000,"65,408"
28-Aug-17,0.203425,0.23626,0.19661,0.224508,542468000,"-789,844,592"
27-Aug-17,0.212617,0.212617,0.197717,0.202995,193971000,"-437,394,592"
26-Aug-17,0.218256,0.229086,0.210324,0.212577,184121000,"-221,144,592"
25-Aug-17,0.2172,0.232184,0.203022,0.217828,504484000,"-261,634,592"
24-Aug-17,0.252371,0.288783,0.212543,0.218958,1342360000,"1,086,955,408"
23-Aug-17,0.240987,0.297662,0.219992,0.246827,1770400000,"650,445,408"
22-Aug-17,0.194971,0.254659,0.171483,0.239286,1450040000,"-1,113,984,592"
21-Aug-17,0.15841,0.205684,0.154856,0.191918,447089000,"1,779,072,704"
20-Aug-17,0.154569,0.161205,0.153432,0.158735,68542800,"1,631,802,704"
19-Aug-17,0.159553,0.162348,0.152305,0.155057,87062100,"1,822,922,704"
18-Aug-17,0.157117,0.168716,0.154162,0.158883,146539000,"1,729,502,704"
17-Aug-17,0.160787,0.161001,0.155909,0.157498,56084300,"1,870,222,704"
16-Aug-17,0.161238,0.161726,0.153087,0.160431,107920000,"1,887,522,704"
15-Aug-17,0.16979,0.16979,0.158244,0.161221,100614000,"-2,079,534,592"
14-Aug-17,0.168376,0.180054,0.165289,0.169991,84388300,"-2,132,254,592"
13-Aug-17,0.173545,0.174147,0.162625,0.168092,110199000,"-1,934,004,592"
12-Aug-17,0.179221,0.182599,0.173242,0.173853,65229300,"-1,716,344,592"
11-Aug-17,0.180175,0.182631,0.177627,0.179307,54059700,"-1,679,754,592"
10-Aug-17,0.183168,0.1835,0.180013,0.180399,48162800,"-1,566,554,592"
09-Aug-17,0.192527,0.192914,0.180629,0.182947,97805400,"-1,207,714,592"
08-Aug-17,0.179602,0.194391,0.178487,0.192586,180028000,"-1,703,314,592"
07-Aug-17,0.179716,0.181847,0.177605,0.179021,58052100,"-1,698,914,592"
06-Aug-17,0.185398,0.189486,0.180298,0.180444,74161600,"-1,481,074,592"
