Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,9.91,10.17,9.02,9.13,21055000,"978,923,000"
19-Feb-18,9.26,10.18,9.1,9.95,22415800,"914,001,000"
18-Feb-18,9.76,9.78,8.82,9.26,14139400,"963,499,000"
17-Feb-18,9.53,9.95,9.42,9.76,19415600,"940,978,000"
16-Feb-18,9.5,9.79,9,9.56,14430300,"938,100,000"
15-Feb-18,9.26,9.76,9.08,9.54,23848900,"914,277,000"
14-Feb-18,7.91,9.74,7.91,9.36,47682600,"780,623,000"
13-Feb-18,7.93,8.24,7.55,7.95,17510200,"782,976,000"
12-Feb-18,7.03,7.98,7.03,7.9,10176500,"694,445,000"
11-Feb-18,7.84,7.84,6.61,6.99,9233680,"774,245,000"
10-Feb-18,8.26,8.86,7.19,7.86,20070700,"815,645,000"
09-Feb-18,7.31,8.22,6.95,8.21,12699200,"721,390,000"
08-Feb-18,6.42,7.36,6.42,7.35,12229100,"634,084,000"
07-Feb-18,6.83,7.53,6.15,6.49,13130400,"674,637,000"
06-Feb-18,6.09,7.12,4.75,6.86,17572200,"600,848,000"
05-Feb-18,7.94,8.15,5.63,6.09,14262200,"783,473,000"
04-Feb-18,9.66,9.79,7.43,7.99,14448100,"953,494,000"
03-Feb-18,9.4,10.19,8.34,9.66,11740300,"928,058,000"
02-Feb-18,10.1,10.1,7.16,9.33,25720900,"996,957,000"
01-Feb-18,12.36,12.87,9.5,10.15,23587600,"1,220,310,000"
31-Jan-18,11.99,12.78,11.12,12.29,25649400,"1,183,220,000"
30-Jan-18,14.87,14.87,11.76,11.97,25695100,"1,467,940,000"
29-Jan-18,14.62,14.9,13.73,14.82,29743800,"1,443,430,000"
28-Jan-18,14.45,15.16,14.21,14.64,34283400,"1,426,250,000"
27-Jan-18,13.46,15.39,13.18,14.42,117059000,"1,329,110,000"
26-Jan-18,12.64,14.13,11.22,13.37,55387300,"1,247,740,000"
25-Jan-18,12.84,13.14,12.11,12.68,18111100,"1,267,800,000"
24-Jan-18,12.37,13.02,11.94,12.64,23016500,"1,221,140,000"
23-Jan-18,11.55,13.29,10.96,12.46,39676300,"1,140,180,000"
22-Jan-18,13.43,14.06,10.85,11.73,32543500,"1,325,880,000"
21-Jan-18,16.06,16.06,12.82,13.29,34303600,"1,584,850,000"
20-Jan-18,14.98,16.46,14.97,16.1,56670600,"1,478,350,000"
19-Jan-18,14.41,15.94,13.91,14.84,36179600,"1,422,830,000"
18-Jan-18,14.84,16.2,13.51,14.59,45599200,"1,464,610,000"
17-Jan-18,14.93,15.63,10.66,14.74,55399600,"1,473,570,000"
16-Jan-18,20.85,20.85,11.87,14.94,82425800,"2,058,280,000"
15-Jan-18,19.67,22.2,19.33,20.81,136719000,"1,941,050,000"
14-Jan-18,19.94,20.16,17.62,19.93,29952500,"1,967,980,000"
13-Jan-18,18.62,20.35,18.53,19.96,29031000,"1,838,120,000"
12-Jan-18,16.18,20,15.58,18.69,39309600,"1,596,910,000"
11-Jan-18,19.26,19.4,14.82,16.09,41010200,"1,901,060,000"
10-Jan-18,19.35,19.63,17.18,19.24,38332900,"1,909,330,000"
09-Jan-18,21.94,21.94,18.84,19.53,66024900,"-2,130,017,296"
08-Jan-18,17.03,22.66,17.03,21.75,167018000,"1,680,520,000"
07-Jan-18,16.07,17.86,15.91,17.05,39299000,"1,586,140,000"
06-Jan-18,15.1,16.82,14.82,16.19,40643800,"1,490,410,000"
05-Jan-18,16,16.2,14.41,15.19,58967300,"1,578,710,000"
04-Jan-18,16.84,17.24,15.15,16.06,58863100,"1,662,060,000"
03-Jan-18,16.09,17.25,14.7,16.96,50176600,"1,587,680,000"
02-Jan-18,15.84,16.61,14.39,16.08,63791100,"1,562,840,000"
01-Jan-18,14.07,16.73,13.48,15.7,75643600,"1,388,100,000"
31-Dec-17,12.86,14.32,12.65,14.03,27243700,"1,269,020,000"
30-Dec-17,15.13,15.13,12.05,13,33165200,"1,493,000,000"
29-Dec-17,14.44,15.89,13.99,15.15,45160700,"1,425,150,000"
28-Dec-17,13.78,14.65,11.45,14.22,61972200,"1,360,020,000"
27-Dec-17,14.98,14.98,13.23,13.84,47212900,"1,477,840,000"
26-Dec-17,15.15,16.12,13.67,14.92,87781700,"1,494,590,000"
25-Dec-17,14.39,16.54,13,15.3,79274800,"1,420,150,000"
24-Dec-17,13.49,15.54,12.25,14.29,98855000,"1,331,470,000"
23-Dec-17,10.02,16.04,9.71,13.24,111333000,"988,665,000"
22-Dec-17,12.91,13.16,7.61,9.92,57832900,"1,274,250,000"
21-Dec-17,11.22,14.27,11.17,12.93,120408000,"1,107,160,000"
20-Dec-17,11.97,12.03,10.23,11.19,52126800,"1,181,220,000"
19-Dec-17,12.76,13.32,11.46,11.99,74910100,"1,259,130,000"
18-Dec-17,11.26,14,10.8,12.67,139841000,"1,110,720,000"
17-Dec-17,10.58,11.76,10.45,11.26,58303400,"1,044,250,000"
16-Dec-17,9.85,10.87,9.68,10.81,40692300,"972,032,000"
15-Dec-17,9.81,9.95,8.79,9.89,37830600,"968,078,000"
14-Dec-17,9.45,10.04,9.14,9.78,38710200,"932,217,000"
13-Dec-17,10.13,10.25,9.16,9.54,35347700,"999,159,000"
12-Dec-17,10.77,10.95,9.71,10.16,57930500,"1,062,330,000"
11-Dec-17,9.21,11.41,8.86,10.73,67994100,"908,593,000"
10-Dec-17,9.23,9.82,7.02,9.2,49244800,"910,546,000"
09-Dec-17,9,10.26,8.06,9.16,40892300,"887,916,000"
08-Dec-17,8.8,10,7.57,9.02,67156200,"867,847,000"
07-Dec-17,7.57,10.88,6.9,8.84,165329000,"746,695,000"
06-Dec-17,7.4,8.02,6.74,7.56,47240700,"729,668,000"
05-Dec-17,7.55,7.95,7.23,7.46,41472400,"744,784,000"
04-Dec-17,6.15,7.49,6.1,7.48,30999400,"606,793,000"
03-Dec-17,5.92,6.52,5.69,6.12,18408000,"583,559,000"
02-Dec-17,5.7,6.02,5.61,5.91,14753200,"562,162,000"
01-Dec-17,5.32,5.72,5.06,5.65,14799500,"524,709,000"
30-Nov-17,4.86,5.76,4.6,5.36,22486300,"479,208,000"
29-Nov-17,6.5,6.72,4.64,4.82,42428800,"641,537,000"
28-Nov-17,5.36,6.47,5.07,6.47,41317100,"528,620,000"
27-Nov-17,4.56,5.39,4.46,5.38,21900500,"449,765,000"
26-Nov-17,4.82,4.83,4.47,4.56,16465900,"475,322,000"
25-Nov-17,4.25,4.91,4.24,4.79,21031200,"419,190,000"
24-Nov-17,3.99,4.27,3.83,4.25,12298500,"393,780,000"
23-Nov-17,3.73,4.27,3.73,4,18217100,"367,876,000"
22-Nov-17,3.48,3.75,3.46,3.73,8231210,"343,618,000"
21-Nov-17,3.49,3.88,3.27,3.46,10210100,"344,218,000"
20-Nov-17,3.45,3.54,3.42,3.48,6356620,"340,139,000"
19-Nov-17,3.5,3.71,3.4,3.46,9062750,"344,757,000"
18-Nov-17,3.37,3.53,3.29,3.5,6673990,"332,566,000"
17-Nov-17,3.3,3.57,3.22,3.36,7115310,"325,909,000"
16-Nov-17,3.74,3.75,3.27,3.31,9418140,"369,318,000"
15-Nov-17,3.6,3.83,3.49,3.73,11132600,"354,607,000"
14-Nov-17,3.24,3.71,3.24,3.61,11279900,"319,047,000"
13-Nov-17,2.87,3.27,2.86,3.22,6844240,"282,633,000"
12-Nov-17,3.3,3.3,2.72,2.88,7494210,"325,278,000"
11-Nov-17,3.17,3.37,3.01,3.3,6948770,"312,651,000"
10-Nov-17,3.75,3.84,3,3.2,9130380,"370,129,000"
09-Nov-17,3.54,3.9,3.53,3.75,11101300,"348,838,000"
08-Nov-17,3.01,3.76,2.91,3.53,16903800,"297,266,000"
07-Nov-17,3.01,3.05,2.93,3.02,4708950,"296,727,000"
06-Nov-17,3.04,3.14,2.97,3.01,7091170,"300,055,000"
05-Nov-17,3,3.15,2.89,3.04,6526060,"295,342,000"
04-Nov-17,3.12,3.26,2.94,2.99,7783710,"307,484,000"
03-Nov-17,2.84,3.29,2.7,3.13,10273500,"279,668,000"
02-Nov-17,3.04,3.16,2.41,2.88,21011000,"299,839,000"
01-Nov-17,3.36,3.4,3.04,3.08,9835120,"331,704,000"
31-Oct-17,3.79,3.79,3.31,3.36,13957800,"373,355,000"
30-Oct-17,4.08,4.53,3.76,3.82,13256800,"402,732,000"
29-Oct-17,4.26,4.51,4.03,4.04,13787600,"420,386,000"
28-Oct-17,4.39,4.61,4.21,4.29,9976150,"432,962,000"
27-Oct-17,4.43,4.76,4.19,4.4,14107600,"436,841,000"
26-Oct-17,4.96,5.04,3.98,4.39,30372000,"488,616,000"
25-Oct-17,4.04,5.04,3.81,4.92,27633500,"398,709,000"
24-Oct-17,3.35,4.03,3.23,4,17175100,"330,667,000"
23-Oct-17,3.15,3.76,3.08,3.38,21784500,"310,956,000"
22-Oct-17,3.04,3.39,2.87,3.15,9563480,"299,843,000"
21-Oct-17,2.99,3.18,2.67,3.02,6529230,"294,448,000"
20-Oct-17,3.09,3.29,2.94,2.96,7724320,"304,362,000"
19-Oct-17,3.22,3.34,3.04,3.09,7054550,"317,024,000"
18-Oct-17,3.06,3.36,2.9,3.22,14079200,"301,767,000"
17-Oct-17,2.98,3.07,2.87,3.06,6242700,"293,352,000"
16-Oct-17,3.01,3.09,2.8,2.98,6688310,"296,889,000"
15-Oct-17,2.86,3.06,2.76,3.01,6180240,"282,387,000"
14-Oct-17,3.14,3.14,2.7,2.85,7843710,"309,165,000"
13-Oct-17,3.13,3.34,3,3.14,8455320,"308,920,000"
12-Oct-17,3.52,3.52,3.12,3.12,8527240,"346,797,000"
11-Oct-17,3.41,3.59,3.4,3.51,4683540,"335,756,000"
10-Oct-17,3.36,3.57,3.32,3.4,4880590,"331,471,000"
09-Oct-17,3.53,3.71,3.15,3.35,7796190,"347,588,000"
08-Oct-17,3.9,4.14,3.45,3.51,9186260,"384,053,000"
07-Oct-17,3.69,4.02,3.54,3.92,7693060,"363,891,000"
06-Oct-17,3.55,3.86,3.55,3.69,3894190,"350,388,000"
05-Oct-17,3.64,3.69,3.44,3.56,3814770,"359,209,000"
04-Oct-17,3.8,3.98,3.52,3.64,7099310,"374,747,000"
03-Oct-17,3.91,4.01,3.38,3.81,13060300,"385,143,000"
02-Oct-17,4.12,4.32,3.8,3.91,8607690,"406,341,000"
01-Oct-17,4.47,4.52,4.09,4.13,7993490,"440,100,000"
30-Sep-17,4.47,4.62,4.4,4.44,6061940,"440,203,000"
29-Sep-17,4.78,4.88,4.39,4.47,7038430,"471,559,000"
28-Sep-17,4.77,5.04,4.69,4.79,7847200,"469,867,000"
27-Sep-17,4.4,4.84,4.36,4.77,7465230,"433,440,000"
26-Sep-17,4.23,4.56,4.12,4.39,6399530,"416,859,000"
25-Sep-17,3.98,4.29,3.96,4.25,4692290,"392,654,000"
24-Sep-17,4.19,4.22,3.95,3.97,2751840,"412,920,000"
