Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,8.1,8.49,7.94,8.03,46087500,"810,038,000"
19-Feb-18,7.54,8.15,7.44,8.1,37813100,"753,733,000"
18-Feb-18,7.84,8.09,7.13,7.54,40081300,"784,044,000"
17-Feb-18,7.88,7.96,7.63,7.84,34458200,"788,332,000"
16-Feb-18,8,8.36,7.49,7.9,44143700,"800,093,000"
15-Feb-18,6.42,8.07,6.38,8.07,61670200,"641,992,000"
14-Feb-18,5.59,6.44,5.58,6.42,20068500,"558,952,000"
13-Feb-18,5.74,5.76,5.4,5.6,17030400,"574,298,000"
12-Feb-18,5.49,5.89,5.49,5.72,20167600,"548,602,000"
11-Feb-18,5.72,5.72,5.01,5.45,21599600,"571,865,000"
10-Feb-18,6.06,6.32,5.47,5.72,29552400,"606,151,000"
09-Feb-18,5.6,6.09,5.3,6.04,24332800,"559,784,000"
08-Feb-18,4.92,6,4.92,5.58,31567200,"492,456,000"
07-Feb-18,5.01,5.66,4.59,4.97,16135000,"501,033,000"
06-Feb-18,4.54,5.15,3.66,5.06,20248500,"453,888,000"
05-Feb-18,5.71,5.95,4.36,4.54,22395200,"571,019,000"
04-Feb-18,6.64,6.75,5.57,5.74,25765100,"663,752,000"
03-Feb-18,6.21,6.85,5.74,6.63,23023200,"621,154,000"
02-Feb-18,6.65,6.65,5.35,6.2,26726300,"664,536,000"
01-Feb-18,7.7,7.79,6.35,6.67,27774000,"769,864,000"
31-Jan-18,7.63,7.93,7.24,7.68,27535700,"762,709,000"
30-Jan-18,8.71,8.78,7.52,7.61,29051000,"870,974,000"
29-Jan-18,9.19,9.3,8.54,8.71,33554900,"918,718,000"
28-Jan-18,9.17,9.53,9.02,9.2,34527300,"916,626,000"
27-Jan-18,8.95,9.46,8.86,9.11,39528900,"894,906,000"
26-Jan-18,9.04,9.36,8.32,8.96,34796200,"903,952,000"
25-Jan-18,8.92,9.23,8.72,9.06,38346500,"891,993,000"
24-Jan-18,8.2,8.94,7.97,8.81,45927300,"819,666,000"
23-Jan-18,8.28,8.57,7.73,8.2,37418900,"828,237,000"
22-Jan-18,8.38,8.65,7.59,8.3,30657000,"838,233,000"
21-Jan-18,9.65,9.72,8.06,8.27,36459600,"964,861,000"
20-Jan-18,8.88,9.82,8.88,9.6,51892200,"888,259,000"
19-Jan-18,8.51,9.38,8.21,8.78,45279300,"850,897,000"
18-Jan-18,8.48,10.05,7.95,8.6,35228000,"847,572,000"
17-Jan-18,8.36,8.83,6.68,8.09,86632300,"835,624,000"
16-Jan-18,10.83,10.92,7.08,8.39,42325600,"1,083,460,000"
15-Jan-18,11.02,11.47,10.7,10.77,47209300,"1,102,430,000"
14-Jan-18,11.85,11.86,10.5,11.09,46611100,"1,184,520,000"
13-Jan-18,11.35,12.15,11.33,11.83,42000200,"1,134,720,000"
12-Jan-18,10.78,11.76,10.46,11.34,43342800,"1,078,330,000"
11-Jan-18,12.65,12.65,9.98,10.71,46240500,"1,265,240,000"
10-Jan-18,13.04,13.04,11.41,12.74,62348700,"1,303,830,000"
09-Jan-18,13.53,14.11,12.55,12.99,62959200,"1,353,300,000"
08-Jan-18,12.85,13.73,11.57,13.63,72190300,"1,284,770,000"
07-Jan-18,12.87,13.53,12.27,12.95,56240800,"1,287,400,000"
06-Jan-18,12.02,13.07,11.44,12.86,59738700,"1,201,900,000"
05-Jan-18,12.45,13.25,11.77,12.06,65668300,"1,245,140,000"
04-Jan-18,13.06,13.1,11.87,12.54,65343400,"1,306,410,000"
03-Jan-18,13.32,13.73,12.55,12.99,53810900,"1,331,820,000"
02-Jan-18,12.54,13.38,12.33,13.35,61136300,"1,253,640,000"
01-Jan-18,12.63,12.7,11.77,12.57,43302300,"1,262,600,000"
31-Dec-17,11.7,12.8,11.54,12.6,50113900,"1,169,780,000"
30-Dec-17,13.64,13.79,10.95,11.81,49173200,"1,363,620,000"
29-Dec-17,12.87,14.03,12.44,13.64,64926900,"1,286,750,000"
28-Dec-17,13.58,13.62,11.73,12.71,48273000,"1,358,300,000"
27-Dec-17,14.32,14.43,13.18,13.58,54343300,"1,432,160,000"
26-Dec-17,14.31,15.15,13.68,14.2,65504500,"1,431,340,000"
25-Dec-17,13.93,14.46,13.13,14.28,65545300,"1,393,480,000"
24-Dec-17,14.47,14.54,12.25,13.81,59222600,"1,447,000,000"
23-Dec-17,12.67,15.79,12.48,14.27,88401100,"1,267,050,000"
22-Dec-17,16.14,16.42,9.82,12.52,71699500,"1,613,900,000"
21-Dec-17,15.29,16.53,14.54,16.03,90875600,"1,529,020,000"
